"Autauga County, Alabama",55380,38.2,58731,29819,24522,936,450,8340
"Baldwin County, Alabama",212830,43,58320,32626,95091,4226,178,21704
"Barbour County, Alabama",25361,40.4,32525,18473,8413,849,0,6875
"Bibb County, Alabama",22493,40.9,47542,20778,8387,659,0,3740
"Blount County, Alabama",57681,40.7,49358,24747,21917,763,35,7739
"Bullock County, Alabama",10248,40.2,37785,20877,4319,174,0,2825
"Butler County, Alabama",19828,40.8,40688,21038,7930,579,11,4397
"Calhoun County, Alabama",114618,39.6,47255,25345,47896,4210,568,19969
"Chambers County, Alabama",33660,42,42289,22729,14877,610,12,5711
"Cherokee County, Alabama",25903,46.5,41919,24301,9980,463,0,3560
"Chilton County, Alabama",44055,38.7,47468,24658,17526,1200,0,8302
"Choctaw County, Alabama",12925,46.3,35892,22308,4173,358,0,2968
"Clarke County, Alabama",24128,42.5,37404,22225,7770,1080,28,5484
"Clay County, Alabama",13337,43.3,40845,23519,5527,316,0,2342
"Cleburne County, Alabama",14916,43.1,44741,23142,5707,361,20,2531
"Coffee County, Alabama",51662,39.3,55637,27806,21907,1334,1076,7670
"Colbert County, Alabama",54771,42.4,48065,25536,22832,1039,52,8390
"Conecuh County, Alabama",12394,44.8,37837,19769,4232,431,0,2161
"Coosa County, Alabama",10757,48.4,38990,23694,4202,124,29,1399
"Covington County, Alabama",37200,43.3,42189,23687,14822,1352,25,6756
"Crenshaw County, Alabama",13844,41.7,43163,24563,5668,201,58,2065
"Cullman County, Alabama",82853,40.8,44918,23468,34228,1835,15,12133
"Dale County, Alabama",49277,37.3,47214,24645,17994,1560,2550,8424
"Dallas County, Alabama",39149,39.6,33845,19612,14347,1782,13,11204
"DeKalb County, Alabama",71310,39.5,40440,21907,29639,1219,30,14833
"Elmore County, Alabama",81144,38.7,60891,29052,34180,1652,534,8820
"Escambia County, Alabama",37057,40,36275,19028,12786,1579,0,7551
"Etowah County, Alabama",102748,41.4,44637,24883,42650,2499,12,17625
"Fayette County, Alabama",16494,43.7,39856,22483,6337,429,13,3146
"Franklin County, Alabama",31466,38.6,43514,21641,12840,641,2,6007
"Geneva County, Alabama",26417,43.2,41732,21711,10294,589,39,5743
"Greene County, Alabama",8324,40.9,24145,14884,2396,311,0,3140
"Hale County, Alabama",14809,40.5,34046,21191,5355,652,30,3522
"Henry County, Alabama",17133,44.4,50017,25276,6920,433,8,2316
"Houston County, Alabama",104702,40.1,47580,27097,44374,3043,186,18885
"Jackson County, Alabama",51852,43.1,41769,22596,20352,1101,7,9536
"Jefferson County, Alabama",659680,37.7,53901,32098,304994,21107,571,103417
"Lamar County, Alabama",13885,44.8,38364,22636,5244,509,2,2827
"Lauderdale County, Alabama",92556,41,48094,28033,40287,1993,85,13175
"Lawrence County, Alabama",33058,42.4,44886,23450,12445,692,22,5906
"Lee County, Alabama",161152,31.9,51463,27860,74770,4079,608,30423
"Limestone County, Alabama",94727,39.7,59686,28411,40510,2697,77,12436
"Lowndes County, Alabama",10079,42,30036,20209,3430,377,0,2664
"Macon County, Alabama",18708,38.6,33370,20419,7064,903,57,3995
"Madison County, Alabama",362276,38.5,65449,36620,176910,9338,1333,44038
"Marengo County, Alabama",19321,42.2,33241,25635,6778,587,0,4174
"Marion County, Alabama",29866,44.3,35930,21311,11851,684,26,5137
"Marshall County, Alabama",95643,38.8,45983,24453,39193,1749,33,19147
"Mobile County, Alabama",414114,37.9,47583,25861,174519,10808,770,76275
"Monroe County, Alabama",21270,43.3,30441,20527,6423,1172,0,5869
"Montgomery County, Alabama",226941,36.4,50124,29071,101013,7119,1907,42442
"Morgan County, Alabama",119213,40.6,52156,27367,51903,2778,40,17126
"Perry County, Alabama",9293,36.9,23447,15055,2571,290,7,2612
"Pickens County, Alabama",20243,42.2,39848,23024,7017,802,0,4204
"Pike County, Alabama",33333,31.2,37446,22453,13992,915,25,7701
"Randolph County, Alabama",22647,43.4,43395,24721,8764,380,7,3748
"Russell County, Alabama",57952,36.3,42443,23470,23616,1625,1280,11775
"St. Clair County, Alabama",87989,40.3,58308,26409,38507,2171,26,10484
"Shelby County, Alabama",213432,39.3,77799,38549,106839,4013,217,15742
"Sumter County, Alabama",12797,35.6,24320,16799,4291,462,4,3782
"Talladega County, Alabama",80387,41.3,41325,23305,31166,2893,41,14653
"Tallapoosa County, Alabama",40541,44.7,45828,25217,15119,1656,0,7546
"Tuscaloosa County, Alabama",207305,33,53326,26789,93667,5782,116,34749
"Walker County, Alabama",64110,42.1,43629,23882,24414,2229,29,11440
"Washington County, Alabama",16541,43.7,41370,26752,5582,437,0,3451
"Wilcox County, Alabama",10681,40.5,31014,16841,2995,541,22,3111
"Winston County, Alabama",23784,45.2,35788,22952,9120,717,20,4127
"Aleutians East Borough, Alaska",3385,42.5,69250,33939,2306,93,4,465
"Aleutians West Census Area, Alaska",5698,38.6,87466,39647,3830,82,68,373
"Anchorage Municipality, Alaska",293531,33.6,84928,41415,148021,8918,8384,25861
"Bethel Census Area, Alaska",18134,27.3,53553,19885,6243,1412,9,4980
"Bristol Bay Borough, Alaska",875,42.9,79808,44168,468,50,14,61
"Denali Borough, Alaska",2246,42.1,81719,34365,1508,23,58,354
"Dillingham Census Area, Alaska",4961,30.2,56898,25993,2030,275,0,843
"Fairbanks North Star Borough, Alaska",99072,31.3,76992,37025,45538,3190,6717,7575
"Haines Borough, Alaska",2518,44.7,58059,31731,1181,59,0,278
"Hoonah-Angoon Census Area, Alaska",2139,49.6,59803,36091,1030,123,3,221
"Juneau City and Borough, Alaska",32227,38.1,88390,43680,17132,818,401,2440
"Kenai Peninsula Borough, Alaska",58464,40.8,66064,34226,25314,1951,145,6913
"Ketchikan Gateway Borough, Alaska",13800,39.7,72728,37590,7116,448,208,1304
"Kodiak Island Borough, Alaska",13451,33.9,85839,32876,6680,395,605,1029
"Kusilvak Census Area, Alaska",8250,24.1,36754,13762,2192,817,14,3195
"Lake and Peninsula Borough, Alaska",1393,34.8,44135,24836,653,117,0,229
"Matanuska-Susitna Borough, Alaska",105369,35.2,75493,31232,43782,4378,611,10624
"Nome Census Area, Alaska",9988,28.3,61048,23581,3693,768,50,2080
"North Slope Borough, Alaska",9792,35.2,79306,48730,5404,533,48,983
"Northwest Arctic Borough, Alaska",7715,27.8,60906,23780,2619,581,1,1995
