Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Autauga County, Alabama",55380,29819,8340,15.06%,Autauga County,Alabama
"Baldwin County, Alabama",212830,32626,21704,10.2%,Baldwin County,Alabama
"Barbour County, Alabama",25361,18473,6875,27.11%,Barbour County,Alabama
"Bibb County, Alabama",22493,20778,3740,16.63%,Bibb County,Alabama
"Blount County, Alabama",57681,24747,7739,13.42%,Blount County,Alabama
"Bullock County, Alabama",10248,20877,2825,27.57%,Bullock County,Alabama
"Butler County, Alabama",19828,21038,4397,22.18%,Butler County,Alabama
"Calhoun County, Alabama",114618,25345,19969,17.42%,Calhoun County,Alabama
"Chambers County, Alabama",33660,22729,5711,16.97%,Chambers County,Alabama
"Cherokee County, Alabama",25903,24301,3560,13.74%,Cherokee County,Alabama
"Chilton County, Alabama",44055,24658,8302,18.84%,Chilton County,Alabama
"Choctaw County, Alabama",12925,22308,2968,22.96%,Choctaw County,Alabama
"Clarke County, Alabama",24128,22225,5484,22.73%,Clarke County,Alabama
"Clay County, Alabama",13337,23519,2342,17.56%,Clay County,Alabama
"Cleburne County, Alabama",14916,23142,2531,16.97%,Cleburne County,Alabama
"Coffee County, Alabama",51662,27806,7670,14.85%,Coffee County,Alabama
"Colbert County, Alabama",54771,25536,8390,15.32%,Colbert County,Alabama
"Conecuh County, Alabama",12394,19769,2161,17.44%,Conecuh County,Alabama
"Coosa County, Alabama",10757,23694,1399,13.01%,Coosa County,Alabama
"Covington County, Alabama",37200,23687,6756,18.16%,Covington County,Alabama
"Crenshaw County, Alabama",13844,24563,2065,14.92%,Crenshaw County,Alabama
"Cullman County, Alabama",82853,23468,12133,14.64%,Cullman County,Alabama
"Dale County, Alabama",49277,24645,8424,17.1%,Dale County,Alabama
"Dallas County, Alabama",39149,19612,11204,28.62%,Dallas County,Alabama
"DeKalb County, Alabama",71310,21907,14833,20.8%,DeKalb County,Alabama
"Elmore County, Alabama",81144,29052,8820,10.87%,Elmore County,Alabama
"Escambia County, Alabama",37057,19028,7551,20.38%,Escambia County,Alabama
"Etowah County, Alabama",102748,24883,17625,17.15%,Etowah County,Alabama
"Fayette County, Alabama",16494,22483,3146,19.07%,Fayette County,Alabama
"Franklin County, Alabama",31466,21641,6007,19.09%,Franklin County,Alabama
"Geneva County, Alabama",26417,21711,5743,21.74%,Geneva County,Alabama
"Greene County, Alabama",8324,14884,3140,37.72%,Greene County,Alabama
"Hale County, Alabama",14809,21191,3522,23.78%,Hale County,Alabama
"Henry County, Alabama",17133,25276,2316,13.52%,Henry County,Alabama
"Houston County, Alabama",104702,27097,18885,18.04%,Houston County,Alabama
"Jackson County, Alabama",51852,22596,9536,18.39%,Jackson County,Alabama
"Jefferson County, Alabama",659680,32098,103417,15.68%,Jefferson County,Alabama
"Lamar County, Alabama",13885,22636,2827,20.36%,Lamar County,Alabama
"Lauderdale County, Alabama",92556,28033,13175,14.23%,Lauderdale County,Alabama
"Lawrence County, Alabama",33058,23450,5906,17.87%,Lawrence County,Alabama
"Lee County, Alabama",161152,27860,30423,18.88%,Lee County,Alabama
"Limestone County, Alabama",94727,28411,12436,13.13%,Limestone County,Alabama
"Lowndes County, Alabama",10079,20209,2664,26.43%,Lowndes County,Alabama
"Macon County, Alabama",18708,20419,3995,21.35%,Macon County,Alabama
"Madison County, Alabama",362276,36620,44038,12.16%,Madison County,Alabama
"Marengo County, Alabama",19321,25635,4174,21.6%,Marengo County,Alabama
"Marion County, Alabama",29866,21311,5137,17.2%,Marion County,Alabama
"Marshall County, Alabama",95643,24453,19147,20.02%,Marshall County,Alabama
"Mobile County, Alabama",414114,25861,76275,18.42%,Mobile County,Alabama
"Monroe County, Alabama",21270,20527,5869,27.59%,Monroe County,Alabama
"Montgomery County, Alabama",226941,29071,42442,18.7%,Montgomery County,Alabama
"Morgan County, Alabama",119213,27367,17126,14.37%,Morgan County,Alabama
"Perry County, Alabama",9293,15055,2612,28.11%,Perry County,Alabama
"Pickens County, Alabama",20243,23024,4204,20.77%,Pickens County,Alabama
"Pike County, Alabama",33333,22453,7701,23.1%,Pike County,Alabama
"Randolph County, Alabama",22647,24721,3748,16.55%,Randolph County,Alabama
"Russell County, Alabama",57952,23470,11775,20.32%,Russell County,Alabama
"St. Clair County, Alabama",87989,26409,10484,11.92%,St. Clair County,Alabama
"Shelby County, Alabama",213432,38549,15742,7.38%,Shelby County,Alabama
"Sumter County, Alabama",12797,16799,3782,29.55%,Sumter County,Alabama
"Talladega County, Alabama",80387,23305,14653,18.23%,Talladega County,Alabama
"Tallapoosa County, Alabama",40541,25217,7546,18.61%,Tallapoosa County,Alabama
"Tuscaloosa County, Alabama",207305,26789,34749,16.76%,Tuscaloosa County,Alabama
"Walker County, Alabama",64110,23882,11440,17.84%,Walker County,Alabama
"Washington County, Alabama",16541,26752,3451,20.86%,Washington County,Alabama
"Wilcox County, Alabama",10681,16841,3111,29.13%,Wilcox County,Alabama
"Winston County, Alabama",23784,22952,4127,17.35%,Winston County,Alabama
"Aleutians East Borough, Alaska",3385,33939,465,13.74%,Aleutians East Borough,Alaska
"Aleutians West Census Area, Alaska",5698,39647,373,6.55%,Aleutians West Census Area,Alaska
"Anchorage Municipality, Alaska",293531,41415,25861,8.81%,Anchorage Municipality,Alaska
"Bethel Census Area, Alaska",18134,19885,4980,27.46%,Bethel Census Area,Alaska
"Bristol Bay Borough, Alaska",875,44168,61,6.97%,Bristol Bay Borough,Alaska
"Denali Borough, Alaska",2246,34365,354,15.76%,Denali Borough,Alaska
"Dillingham Census Area, Alaska",4961,25993,843,16.99%,Dillingham Census Area,Alaska
"Fairbanks North Star Borough, Alaska",99072,37025,7575,7.65%,Fairbanks North Star Borough,Alaska
"Haines Borough, Alaska",2518,31731,278,11.04%,Haines Borough,Alaska
"Hoonah-Angoon Census Area, Alaska",2139,36091,221,10.33%,Hoonah-Angoon Census Area,Alaska
"Juneau City and Borough, Alaska",32227,43680,2440,7.57%,Juneau City and Borough,Alaska
"Kenai Peninsula Borough, Alaska",58464,34226,6913,11.82%,Kenai Peninsula Borough,Alaska
"Ketchikan Gateway Borough, Alaska",13800,37590,1304,9.45%,Ketchikan Gateway Borough,Alaska
"Kodiak Island Borough, Alaska",13451,32876,1029,7.65%,Kodiak Island Borough,Alaska
"Kusilvak Census Area, Alaska",8250,13762,3195,38.73%,Kusilvak Census Area,Alaska
"Lake and Peninsula Borough, Alaska",1393,24836,229,16.44%,Lake and Peninsula Borough,Alaska
"Matanuska-Susitna Borough, Alaska",105369,31232,10624,10.08%,Matanuska-Susitna Borough,Alaska
"Nome Census Area, Alaska",9988,23581,2080,20.82%,Nome Census Area,Alaska
"North Slope Borough, Alaska",9792,48730,983,10.04%,North Slope Borough,Alaska
"Northwest Arctic Borough, Alaska",7715,23780,1995,25.86%,Northwest Arctic Borough,Alaska
"Petersburg Borough, Alaska",3257,36112,186,5.71%,Petersburg Borough,Alaska
"Prince of Wales-Hyder Census Area, Alaska",6407,27080,1098,17.14%,Prince of Wales-Hyder Census Area,Alaska
"Sitka City and Borough, Alaska",8640,39615,731,8.46%,Sitka City and Borough,Alaska
"Skagway Municipality, Alaska",1107,39453,70,6.32%,Skagway Municipality,Alaska
"Southeast Fairbanks Census Area, Alaska",6878,32193,737,10.72%,Southeast Fairbanks Census Area,Alaska
"Valdez-Cordova Census Area, Alaska",9243,38907,714,7.72%,Valdez-Cordova Census Area,Alaska
"Wrangell City and Borough, Alaska",2502,32286,194,7.75%,Wrangell City and Borough,Alaska
"Yakutat City and Borough, Alaska",649,32198,48,7.4%,Yakutat City and Borough,Alaska
"Yukon-Koyukuk Census Area, Alaska",5377,22718,1352,25.14%,Yukon-Koyukuk Census Area,Alaska
"Apache County, Arizona",71511,15128,24963,34.91%,Apache County,Arizona
"Cochise County, Arizona",125867,26819,19476,15.47%,Cochise County,Arizona
"Coconino County, Arizona",141274,27339,22539,15.95%,Coconino County,Arizona
"Gila County, Arizona",53546,24251,11367,21.23%,Gila County,Arizona
"Graham County, Arizona",37996,18683,7679,20.21%,Graham County,Arizona
"Greenlee County, Arizona",9522,25780,1250,13.13%,Greenlee County,Arizona
"La Paz County, Arizona",20793,22879,4592,22.08%,La Paz County,Arizona
"Maricopa County, Arizona",4328810,33279,588350,13.59%,Maricopa County,Arizona
"Mohave County, Arizona",207695,26166,33364,16.06%,Mohave County,Arizona
"Navajo County, Arizona",109270,18935,29663,27.15%,Navajo County,Arizona
"Pima County, Arizona",1027207,29707,167823,16.34%,Pima County,Arizona
"Pinal County, Arizona",432793,24959,53276,12.31%,Pinal County,Arizona
"Santa Cruz County, Arizona",46480,21480,10729,23.08%,Santa Cruz County,Arizona
"Yavapai County, Arizona",228067,30341,29085,12.75%,Yavapai County,Arizona
"Yuma County, Arizona",209468,21758,39608,18.91%,Yuma County,Arizona
"Arkansas County, Arkansas",17914,26386,3041,16.98%,Arkansas County,Arkansas
"Ashley County, Arkansas",20270,23391,3347,16.51%,Ashley County,Arkansas
"Baxter County, Arkansas",41427,26863,5360,12.94%,Baxter County,Arkansas
"Benton County, Arkansas",265759,34442,24767,9.32%,Benton County,Arkansas
"Boone County, Arkansas",37331,24727,5369,14.38%,Boone County,Arkansas
"Bradley County, Arkansas",10874,22945,2211,20.33%,Bradley County,Arkansas
"Calhoun County, Arkansas",5192,23688,680,13.1%,Calhoun County,Arkansas
"Carroll County, Arkansas",27965,25295,4096,14.65%,Carroll County,Arkansas
"Chicot County, Arkansas",10615,20232,2872,27.06%,Chicot County,Arkansas
"Clark County, Arkansas",22386,21337,4017,17.94%,Clark County,Arkansas
"Clay County, Arkansas",14889,22505,3106,20.86%,Clay County,Arkansas
"Cleburne County, Arkansas",25100,27227,3452,13.75%,Cleburne County,Arkansas
"Cleveland County, Arkansas",8128,24225,1475,18.15%,Cleveland County,Arkansas
"Columbia County, Arkansas",23776,21189,5482,23.06%,Columbia County,Arkansas
"Conway County, Arkansas",20858,25158,3649,17.49%,Conway County,Arkansas
"Craighead County, Arkansas",107345,26948,17130,15.96%,Craighead County,Arkansas
"Crawford County, Arkansas",62739,24547,10609,16.91%,Crawford County,Arkansas
"Crittenden County, Arkansas",48672,23172,10655,21.89%,Crittenden County,Arkansas
"Cross County, Arkansas",16824,25380,2555,15.19%,Cross County,Arkansas
"Dallas County, Arkansas",7279,20517,955,13.12%,Dallas County,Arkansas
"Desha County, Arkansas",11709,19235,3363,28.72%,Desha County,Arkansas
"Drew County, Arkansas",18417,25543,3268,17.74%,Drew County,Arkansas
"Faulkner County, Arkansas",123624,26913,19778,16.0%,Faulkner County,Arkansas
"Franklin County, Arkansas",17738,20480,4005,22.58%,Franklin County,Arkansas
"Fulton County, Arkansas",12231,19697,2491,20.37%,Fulton County,Arkansas
"Garland County, Arkansas",98555,27171,18032,18.3%,Garland County,Arkansas
"Grant County, Arkansas",18126,28153,2596,14.32%,Grant County,Arkansas
"Greene County, Arkansas",44937,23494,7246,16.12%,Greene County,Arkansas
"Hempstead County, Arkansas",21842,21521,4892,22.4%,Hempstead County,Arkansas
"Hot Spring County, Arkansas",33597,21866,5658,16.84%,Hot Spring County,Arkansas
"Howard County, Arkansas",13311,24481,2539,19.07%,Howard County,Arkansas
"Independence County, Arkansas",37427,23733,6049,16.16%,Independence County,Arkansas
"Izard County, Arkansas",13570,21164,1906,14.05%,Izard County,Arkansas
"Jackson County, Arkansas",17027,20295,3489,20.49%,Jackson County,Arkansas
"Jefferson County, Arkansas",69282,21472,13960,20.15%,Jefferson County,Arkansas
"Johnson County, Arkansas",26372,21010,5833,22.12%,Johnson County,Arkansas
"Lafayette County, Arkansas",6800,25876,1721,25.31%,Lafayette County,Arkansas
"Lawrence County, Arkansas",16549,21473,2497,15.09%,Lawrence County,Arkansas
"Lee County, Arkansas",9194,16968,1668,18.14%,Lee County,Arkansas
"Lincoln County, Arkansas",13455,14764,1667,12.39%,Lincoln County,Arkansas
"Little River County, Arkansas",12347,25759,1952,15.81%,Little River County,Arkansas
"Logan County, Arkansas",21668,21491,3995,18.44%,Logan County,Arkansas
"Lonoke County, Arkansas",72528,27293,8775,12.1%,Lonoke County,Arkansas
"Madison County, Arkansas",16211,24356,2798,17.26%,Madison County,Arkansas
"Marion County, Arkansas",16476,21395,2960,17.97%,Marion County,Arkansas
"Miller County, Arkansas",43572,23729,8456,19.41%,Miller County,Arkansas
"Mississippi County, Arkansas",42126,22750,10017,23.78%,Mississippi County,Arkansas
"Monroe County, Arkansas",7050,23538,1887,26.77%,Monroe County,Arkansas
"Montgomery County, Arkansas",8950,22631,1875,20.95%,Montgomery County,Arkansas
"Nevada County, Arkansas",8351,19912,1883,22.55%,Nevada County,Arkansas
"Newton County, Arkansas",7812,19735,1226,15.69%,Newton County,Arkansas
"Ouachita County, Arkansas",23830,21562,5428,22.78%,Ouachita County,Arkansas
"Perry County, Arkansas",10355,23164,1830,17.67%,Perry County,Arkansas
"Phillips County, Arkansas",18606,18651,6362,34.19%,Phillips County,Arkansas
"Pike County, Arkansas",10756,23362,1627,15.13%,Pike County,Arkansas
"Poinsett County, Arkansas",23896,20963,5000,20.92%,Poinsett County,Arkansas
"Polk County, Arkansas",20094,23103,4747,23.62%,Polk County,Arkansas
"Pope County, Arkansas",63761,23391,11349,17.8%,Pope County,Arkansas
"Prairie County, Arkansas",8189,25789,1180,14.41%,Prairie County,Arkansas
"Pulaski County, Arkansas",392967,32692,64988,16.54%,Pulaski County,Arkansas
"Randolph County, Arkansas",17695,23248,3241,18.32%,Randolph County,Arkansas
"St. Francis County, Arkansas",25900,18447,5585,21.56%,St. Francis County,Arkansas
"Saline County, Arkansas",119415,30553,10815,9.06%,Saline County,Arkansas
"Scott County, Arkansas",10376,18281,1967,18.96%,Scott County,Arkansas
"Searcy County, Arkansas",7908,20410,1702,21.52%,Searcy County,Arkansas
