STREET NAME ID,STREET NAME,STREET FULL NAME,POSTAL COMMUNITY,MUNICIPAL COMMUNITY
1400342,PRIVATE STREET,PRIVATE STREET,BATON ROUGE,BATON ROUGE
1,4TH,N 4TH ST,BATON ROUGE,BATON ROUGE
10,11TH,S 11TH ST,BATON ROUGE,BATON ROUGE
100,ADDINGTON,ADDINGTON AVE,BATON ROUGE,BATON ROUGE
1000,CHALFONT,W CHALFONT DR,BATON ROUGE,PARISH
2307,BURROW,BURROW RD,BATON ROUGE,BATON ROUGE
17103,FAWN VIEW,FAWN VIEW DR,BATON ROUGE,PARISH
17057,COTTAGE BEND,COTTAGE BEND DR,BATON ROUGE,BATON ROUGE
17079,AVE MARIA,AVE MARIA LN,GREENWELL SPRINGS,CENTRAL
10007,WILLOW CREEK,WILLOW CREEK DR,ZACHARY,ZACHARY
10022,WEBER,WEBER DR,BATON ROUGE,BATON ROUGE
10023,VIS-A-VIS,VIS-A-VIS AVE,BATON ROUGE,PARISH
1589,WOODCHASE,E WOODCHASE DR,BATON ROUGE,BATON ROUGE
16217,THICKET PASS,THICKET PASS,BATON ROUGE,PARISH
16218,TIMBER GROVE,TIMBER GROVE DR,BATON ROUGE,PARISH
16231,TOWN,TOWN DR,BATON ROUGE,PARISH
16241,WILLOW TRAIL,WILLOW TRAIL DR,BATON ROUGE,PARISH
16261,TEE,TEE DR,ZACHARY,ZACHARY
16279,WHIPPET,WHIPPET LN,PRIDE,PARISH
17058,LAGNIAPPE,LAGNIAPPE LN,BATON ROUGE,BATON ROUGE
16838,SAINT MATHEW,SAINT MATHEW ST,BATON ROUGE,BATON ROUGE
16285,WAVERLY,WAVERLY DR,BATON ROUGE,BATON ROUGE
16300,VILLA CROSSING,VILLA CROSSING DR,GREENWELL SPRINGS,CENTRAL
16301,VILLA HAVEN,VILLA HAVEN DR,GREENWELL SPRINGS,CENTRAL
16302,VILLA LAKE,VILLA LAKE AVE,GREENWELL SPRINGS,CENTRAL
17074,AMERICANA,AMERICANA XING,ZACHARY,PARISH
16303,VILLA TRACE,VILLA TRACE AVE,GREENWELL SPRINGS,CENTRAL
16304,WOODSTOCK WAY,WOODSTOCK WAY DR,GREENWELL SPRINGS,CENTRAL
16306,TUGWELL,TUGWELL LN,GREENWELL SPRINGS,CENTRAL
