"Part","Type","Type","Brand","牌子","Model","Other Information","其他資料","Place of Manufacture","製造地點","Applicant","申請人","Telephone Number","Approval Expiry Date"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","De Dietrich","","DTG1288XC","CERAMIC GLASS TOP PANEL","陶瓷玻璃面版","Italy","意大利","Gilman Group Limited","太平洋行國際有限公司","2418 3272","2023-09-26"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","Electrolux","伊萊克斯","EGC-2901","CERAMIC GLASS TOP PANEL","陶瓷玻璃面版","The People's Republic of China","中華人民共和國","Dah Chong Hong, Ltd.","大昌貿易行有限公司","2262 1690","2024-06-24"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","Gaggenau","","VG231120F","STAINLESS STEEL TOP PANEL","不銹鋼面版","France","法國","Kitchen Infinity Corp. Ltd.","Kitchen Infinity Corp. Ltd.","2552 2208","2024-04-01"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","Gaggenau","","VG231114F","STAINLESS STEEL TOP PANEL","不銹鋼面版","France","法國","Kitchen Infinity Corp. Ltd.","Kitchen Infinity Corp. Ltd.","2552 2208","2022-07-19"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","GERMAN POOL","德國寶","GP12-1-LG","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","German Pool (Hong Kong) Ltd.","德國寶（香港）有限公司","2773 2812","2025-02-15"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","GERMAN POOL","德國寶","GP13-1-LG","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","German Pool (Hong Kong) Ltd.","德國寶（香港）有限公司","2773 2812","2026-09-05"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","giggas","上將","GP-301(LPG)","CERAMIC GLASS TOP PANEL","陶瓷玻璃面版","The People's Republic of China","中華人民共和國","World Engineering Limited","上將工程有限公司","2347 9278","2024-03-21"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","giggas","","GA-450(LPG)","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","World Engineering Limited","上將工程有限公司","2347 9278","2023-04-08"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","Hibachi","氣霸","HY-1316BSS","GLASS TOP PANEL","玻璃面版","The People's Republic of China","中華人民共和國","Hibachi Gas Cooker Limited","氣霸爐具有限公司","2300 1357","2024-01-30"
"Part 1 – Approved Domestic Gas Cooking Appliances","Built-in Hotplate 1 Burner","嵌入式單頭平面爐","KitchenAid","KitchenAid","KHDP130510/P","GLASS TOP PANEL","玻璃面版","Italy","意大利","Whirlpool (Hong Kong) Ltd.","惠而浦（香港）有限公司","2406 9138","2026-02-04"
