Year,State,Total Population,Total Employed Civilians,Total Unemployed Civilians,Total People in the Military,Total Population in Poverty
2016,Alabama,4841164,2042025.0,184479.0,12150.0,868666.0
2016,Alaska,736855,353954.0,30139.0,16382.0,72826.0
2016,Arizona,6728577,2879372.0,249972.0,17373.0,1165636.0
2016,Arkansas,2968472,1266552.0,93190.0,4445.0,542431.0
2016,California,38654206,17577142.0,1683726.0,130452.0,6004257.0
2016,Colorado,5359295,2692529.0,171695.0,33135.0,637938.0
2016,Connecticut,3588570,1793688.0,155005.0,8367.0,360464.0
2016,Delaware,934695,438292.0,33669.0,2860.0,109448.0
2016,District of Columbia,659009,348225.0,33326.0,3505.0,112060.0
2016,Florida,19934451,8755427.0,802016.0,56151.0,3139258.0
2016,Georgia,10099320,4489112.0,419113.0,48862.0,1746894.0
2016,Hawaii,1413673,664616.0,38768.0,38777.0,148577.0
2016,Idaho,1635483,731170.0,48385.0,3459.0,244585.0
2016,Illinois,12851684,6134121.0,545635.0,17244.0,1753731.0
2016,Indiana,6589578,3085179.0,228929.0,2844.0,957694.0
2016,Iowa,3106589,1587178.0,75289.0,1703.0,369828.0
2016,Kansas,2898292,1408918.0,79000.0,17329.0,373162.0
2016,Kentucky,4411989,1914189.0,156509.0,14735.0,804139.0
2016,Louisiana,4645670,2025728.0,168326.0,15085.0,889570.0
2016,Maine,1329923,652638.0,41620.0,1770.0,174405.0
2016,Maryland,5959902,3005753.0,216086.0,28072.0,576835.0
2016,Massachusetts,6742143,3468864.0,252347.0,4627.0,740836.0
2016,Michigan,9909600,4449717.0,412934.0,3718.0,1575066.0
2016,Minnesota,5450868,2864441.0,145853.0,2228.0,577196.0
2016,Mississippi,2989192,1212650.0,128840.0,10307.0,645553.0
2016,Missouri,6059651,2835183.0,200143.0,19699.0,897755.0
2016,Montana,1023391,490742.0,29382.0,3475.0,148677.0
2016,Nebraska,1881259,977353.0,42544.0,4840.0,227021.0
2016,Nevada,2839172,1302162.0,133525.0,7934.0,417257.0
2016,New Hampshire,1327503,706801.0,37727.0,1675.0,109690.0
2016,New Jersey,8915456,4322619.0,368870.0,8124.0,949341.0
2016,New Mexico,2082669,876210.0,81175.0,8992.0,426814.0
2016,New York,19697457,9340878.0,759224.0,22976.0,2967564.0
2016,North Carolina,9940828,4460824.0,404584.0,82857.0,1631704.0
2016,North Dakota,736162,395584.0,11250.0,6097.0,79314.0
2016,Ohio,11586941,5425647.0,423956.0,8117.0,1732839.0
2016,Oklahoma,3875589,1733000.0,110120.0,18115.0,621155.0
2016,Oregon,3982267,1832620.0,160797.0,2520.0,614223.0
2016,Pennsylvania,12783977,6043693.0,468440.0,4782.0,1647762.0
2016,Puerto Rico,3529385,1055106.0,226880.0,1204.0,1577075.0
2016,Rhode Island,1054491,520482.0,43600.0,3203.0,140161.0
2016,South Carolina,4834605,2129323.0,194454.0,30595.0,806422.0
2016,South Dakota,851058,434693.0,18636.0,2607.0,115300.0
2016,Tennessee,6548009,2937131.0,238372.0,17933.0,1100169.0
2016,Texas,26956435,12371392.0,848131.0,92754.0,4397307.0
2016,Utah,2948427,1374146.0,73114.0,4079.0,338808.0
2016,Vermont,626249,327237.0,17087.0,406.0,69673.0
2016,Virginia,8310301,4036456.0,255340.0,111328.0,921664.0
2016,Washington,7073146,3331321.0,244692.0,47291.0,883256.0
2016,West Virginia,1846092,750412.0,61215.0,853.0,318060.0
2016,Wisconsin,5754798,2910339.0,169426.0,2421.0,713472.0
2016,Wyoming,583029,293598.0,15118.0,2388.0,65762.0
2017,Alabama,4850771,2055509.0,165391.0,12309.0,849699.0
2017,Alaska,738565,354045.0,29548.0,17029.0,73380.0
2017,Arizona,6809946,2953891.0,225911.0,17314.0,1128046.0
2017,Arkansas,2977944,1276536.0,85128.0,4438.0,524211.0
2017,California,38982847,17993915.0,1491146.0,127716.0,5773408.0
2017,Colorado,5436519,2760076.0,152856.0,33422.0,612143.0
2017,Connecticut,3594478,1805086.0,140712.0,8566.0,350783.0
2017,Delaware,943732,441513.0,30245.0,3016.0,111304.0
2017,District of Columbia,672391,357701.0,31279.0,3441.0,111025.0
2017,Florida,20278447,9018570.0,699117.0,55075.0,3070972.0
