Town,Meals,Meals Count,Rent,Rent Count,Alcohol,Alcohol Count,Past Meals,Past Meals count,Past Rent,Past Rent Count,Past Alcohol,Past Alchohol Count
ADDISON,0,0,90173.1,12,0,0,0,0,172233,15,0,0
ALBURGH,0,0,0,0,0,0,1077515.13,12,333596.32,19,0,0
ARLINGTON,871615.85,10,313732.79,10,0,0,1653105.07,10,1013081.44,16,0,0
BARNARD,0,0,0,0,0,0,0,0,7474505.3,14,0,0
BARRE,14101058.17,46,0,0,1420668.11,19,16480343.05,49,0,0,2809362.08,21
BARRE TOWN,4437612.69,14,0,0,0,0,4675486.93,16,0,0,0,0
BARTON,2300495.64,21,376563.64,10,0,0,2426861.14,25,571343.81,13,0,0
BENNINGTON,26317917.62,81,3296492.96,23,2225916.88,32,32141517.35,94,7243933.44,27,4199857.36,33
BERLIN,15925489.43,25,0,0,0,0,19636054.57,25,0,0,0,0
BETHEL,1661248.52,11,0,0,0,0,2629395.76,13,0,0,0,0
BRADFORD,4281326.71,14,0,0,0,0,5338532.44,14,0,0,0,0
BRANDON,3003238.86,26,0,0,423302.96,11,3837702.23,28,0,0,0,0
BRATTLEBORO,33966669.55,102,4868408.74,26,2840765.1,41,41448615.73,100,9867296.43,27,6096085.57,42
BRIDGEWATER,0,0,0,0,0,0,0,0,313543.08,13,0,0
BRIGHTON,1177924.8,11,0,0,0,0,1302843.73,13,389116.75,11,0,0
BRISTOL,3404909.08,19,0,0,0,0,4670006.09,20,0,0,0,0
BURKE,2089978.91,14,2032319.75,26,936969.35,10,3567727.82,18,4102280.82,39,0,0
BURLINGTON,74507552.54,219,18230026.8,26,18324508.2,122,127618259,236,53634054.09,44,44233463.37,129
CAMBRIDGE,5618535.14,22,5148648.01,14,1093802.38,12,7997966.42,24,8043936.66,24,2146100.78,11
CASTLETON,4546446.1,23,0,0,401846.12,10,6068137.87,28,1435288.05,14,0,0
CAVENDISH,0,0,0,0,0,0,0,0,3303921.79,12,0,0
CHARLOTTE,0,0,333210.62,10,0,0,0,0,719856.56,14,0,0
CHESTER,2591831.66,19,434329.96,15,0,0,3776065.92,17,968844.44,19,0,0
COLCHESTER,23323491.04,54,5876613.24,22,2041842.99,16,27753136.34,58,13882595.77,37,3329310.39,19
CRAFTSBURY,0,0,0,0,0,0,0,0,246142.79,11,0,0
DANVILLE,1739930.16,12,176730.85,12,0,0,2335850.49,11,265302.32,18,0,0
DERBY,8940856.58,29,431035.74,12,0,0,10463457.08,28,890667.24,18,0,0
DORSET,4056772.35,12,831143.54,12,0,0,5474551.13,14,2087135.15,20,0,0
DOVER,6465961.26,26,2187630.05,49,1864469.82,15,6963771.64,29,3382093.53,80,2377648.08,15
EDEN,0,0,0,0,0,0,0,0,122430.96,11,0,0
ELMORE,0,0,0,0,0,0,0,0,109018.3,12,0,0
ENOSBURG,4516004.6,20,0,0,0,0,4692810.56,22,0,0,0,0
ESSEX,36429036.93,91,0,0,2359611.62,29,42033583.08,104,0,0,4129281.23,31
FAIR HAVEN,5067414.78,17,0,0,0,0,5680984.38,17,0,0,0,0
FAIRFAX,3323347.95,11,0,0,0,0,3552376.96,12,0,0,0,0
FAIRLEE,0,0,1833212.02,10,0,0,2379763.68,11,4475959.53,12,0,0
FAYSTON,0,0,105586.77,11,0,0,0,0,211939.3,19,0,0
FERRISBURGH,0,0,0,0,0,0,7025450.58,11,5829011.7,15,0,0
GLOVER,0,0,0,0,0,0,0,0,84983.09,11,0,0
GRAND ISLE,0,0,199394,11,0,0,506167.03,11,442037.52,18,0,0
GREENSBORO,0,0,526954.08,15,0,0,0,0,711720.62,14,0,0
HARDWICK,2944594.95,19,0,0,0,0,3965291.33,23,0,0,0,0
HARTFORD,17734685.75,56,6920252.34,27,2250788.12,20,26233562.43,51,14940795.47,31,4519017.53,21
