SCHEDULE NUMBER,NEGOTIATION NUMBER,BLANK1,COMPANY IDENTIFYING INFORMATION ,SIC Code,BLANK2,SIC Code,SIC Code,BLANK3,TYPE OF BARGAINING UNIT,BLANK4,REGIONAL OR STATE,BLANK5,LOCATION,BLANK6,UNION,BLANK7,UNION CODE,BLANK8,NUMBER OF EMPLOYEES,BLANK9,NEGOTIATION DATE,BLANK10,AGREEMENT EFFECTIVE DATE,BLANK11,NEW EXPIRATION DATE,BLANK12,REOPENING DATE,BLANK13,ESCALATOR OVERALL CONTROL,INDEX CODE,BLANK14,TYPE OF ESCALATOR CLAUSE,MINIMUM AND/OR MAXIMUM CODE,BLANK15,CPI BASE YEAR,BLANK16,CPI FORMULA,BLANK17,DATE OF FIRST COST-OF-LIVING REVIEW,BLANK18,DATE OF LAST COST-OF-LIVING REVIEW,BLANK19,WORK STOPPAGE BEGINNING DATE,BLANK20,WORK STOPPAGE ENDING DATE
17031,51,,ELEVATOR MANUFACTORS ASSN    LU 1        4799-3,,,Construction Special Trade Contractors,96,,MORE THAN ONE COMPANY,,NEW YORK,,"NY,NEW YORK",,ELEVATOR CONSTRUCTORS,,ELEVATOR CONSTRUCTORS,,2400,,3/23/73,,7/1/72,,6/30/75,,,,,,,,,,,,,,,,,,,,
17031,52,,ELEVATOR MANUFACTURING ASSN    LU 1      (4799),,,Construction Special Trade Contractors,96,,MORE THAN ONE COMPANY,,NEW YORK,,"NY,NEW YORK",,ELEVATOR CONSTRUCTORS,,ELEVATOR CONSTRUCTORS,,1000,,7/1/75,,7/1/75,,6/30/78,,,,,,,,,,,,,,,,,,,,
17031,53,,ELEVATOR MANUFACTURERS ASSN,50,,Construction Special Trade Contractors,96,,MORE THAN ONE COMPANY,,NEW YORK,,"NY,NY",,ELEVATOR CONSTRUCTORS,,ELEVATOR CONSTRUCTORS,,2000,,10/15/78,,8/18/78,,6/30/81,,,,,,,,,,,,,,,,,,,,
17031,54,,ELEVATOR MFRS ASSN  LU 1,50,,Construction Special Trade Contractors,96,,MORE THAN ONE COMPANY,,NEW YORK,,"NY,NY",,ELEVATOR CONSTRUCTORS,,ELEVATOR CONSTRUCTORS,,1800,,7/16/81,,7/1/81,,6/30/84,,,,,,,,,,,,,,,,,,,,
17031,55,,ELEVATOR MFRS ASSN OF NYC  LU1,50,,Construction Special Trade Contractors,96,,MORE THAN ONE COMPANY,,NEW YORK,,"NY,NY",,ELEVATOR CONSTRUCTORS,,ELEVATOR CONSTRUCTORS,,1900,,7/28/84,,7/1/84,,6/30/87,,,,,,,,,,,,,,,,,,,,
17031,56,,ELEVATOR MFRS ASSN OF NEW YORK INC,50,,Construction Special Trade Contractors,96,,MORE THAN ONE COMPANY,,NEW YORK,,"NY,NEW YORK",,ELEVATOR CONSTRUCTORS,,ELEVATOR CONSTRUCTORS,,1800,,8/6/87,,7/1/87,,6/30/90,,,,,,,,,,,,,,,,,,,,
17031,57,,ELEVATOR MFRS ASSN  OF NEW YORK INC,50,,Construction Special Trade Contractors,96,,MORE THAN ONE COMPANY,,NEW YORK,,"NY,NEW YORK",,ELEVATOR CONSTRUCTORS,,ELEVATOR CONSTRUCTORS,,1800,,7/22/90,,7/1/90,,6/30/93,,,,,,,,,,,,,,,,,,,,
17031,58,,ELEVATOR MFRS ASSOCIATION OF NEW YORK,50,,Construction Special Trade Contractors,96,,MORE THAN ONE COMPANY,,NEW YORK,,NY NEW YORK,,ELEVATOR CONSTRUCTORS,,ELEVATOR CONSTRUCTORS,,1800,,8/1/93,,7/1/93,,6/30/96,,,,,,,,,,,,,,,,,,,,
79006,51,,LEAGUE OF NEW YORK THEATRES,50,,Amusement And Recreation Services,22,,MORE THAN ONE COMPANY,,NEW YORK,,"NY,NEW YORK",,ACTORS EQUITY ASSOCIATION,,ACTORS AND ARTISTS,,1000,,7/1/71,,4/1/71,,6/30/74,,,,"CLAUSE CONTINUED BUT CHANGED, CODE ALL SUBFIELDS","NEW YORK,NEW YORK/NORTHWESTERN, NEW JERSEY-CPI-W",,OTHER,NO MINIMUM OR MAXIMUM ADJUSTMENT,,1967 = 100,,AT&T OR OTHER FORMULAS,,7/2/72,,6/30/74,,,,
79006,52,,LEAGUE OF NEW YORK THEATRES,50,,Amusement And Recreation Services,22,,MORE THAN ONE COMPANY,,NEW YORK,,"NY, NEW YORK",,ACTORS EQUITY ASSOCIATION,,ACTORS AND ARTISTS,,1000,,7/1/74,,7/1/74,,6/30/77,,,,"CLAUSE CONTINUED BUT CHANGED, CODE ALL SUBFIELDS","NEW YORK,NEW YORK/NORTHWESTERN, NEW JERSEY-CPI-W",,ANNUAL IN JULY,BOTH MINIMUM AND MAXIMUM,,1967 = 100,,AT&T OR OTHER FORMULAS,,7/1/75,,7/1/76,,,,
