Country Name,Country Code,2010,2011,2012,2013,2014,2015
Africa Eastern and Southern,AFE,6.879693861,6.730719832,6.578242998,6.480672678,6.414462162,6.46859789
Afghanistan,AFG,11.52,11.51,11.52,11.54,11.45,11.39
Africa Western and Central,AFW,4.471161285,4.466730879,4.560139285,4.356187219,4.640631559,4.54711314
Angola,AGO,9.43,7.36,7.37,7.38,7.31,7.26
Albania,ALB,14.09,13.48,13.38,15.87,18.06,17.19
Arab World,ARB,9.27022141,10.30231074,10.49599345,10.5641547,10.6778097,10.71379287
United Arab Emirates,ARE,2.36,2.23,2.09,1.95,1.84,1.74
Argentina,ARG,7.71,7.18,7.22,7.1,7.27,7.61
Armenia,ARM,19.01,18.44,17.3,16.18,17.5,18.26
Australia,AUS,5.21,5.08,5.22,5.66,6.08,6.05
Austria,AUT,4.82,4.56,4.87,5.34,5.62,5.72
Azerbaijan,AZE,5.63,5.42,5.19,4.97,4.91,4.96
Burundi,BDI,1.74,1.7,1.67,1.64,1.57,1.55
Belgium,BEL,8.29,7.14,7.54,8.43,8.52,8.48
Benin,BEN,1.04,2.65,2.65,2.66,2.61,2.57
Burkina Faso,BFA,4.68,5.12,5.58,6.07,6.48,6.04
Bangladesh,BGD,3.38,3.71,4.06,4.43,4.39,4.38
Bulgaria,BGR,10.28,11.26,12.27,12.94,11.42,9.14
Bahrain,BHR,1.13,1.18,1.2,1.22,1.27,1.32
"Bahamas, The",BHS,14.33,14.52,14.02,16.18,13.8,12.0
Bosnia and Herzegovina,BIH,27.31,27.58,28.01,27.49,27.52,27.69
Belarus,BLR,6.11,6.08,6.06,6.05,5.97,5.91
Belize,BLZ,8.45,8.4,8.38,8.35,8.24,7.58
Bolivia,BOL,2.55,2.22,2.05,2.39,2.01,3.07
Brazil,BRA,7.73,6.92,7.19,6.98,6.66,8.43
Barbados,BRB,10.69,11.19,11.59,11.55,12.17,11.35
Brunei Darussalam,BRN,6.51,6.64,6.71,6.8,6.97,7.69
Bhutan,BTN,3.32,3.23,2.05,2.87,2.63,2.45
Botswana,BWA,17.86,17.85,17.86,17.88,17.78,17.71
Central African Republic,CAF,4.38,4.38,4.38,4.39,4.34,4.3
Canada,CAN,8.06,7.51,7.29,7.07,6.91,6.91
Central Europe and the Baltics,CEB,9.901324676,9.78950134,9.977872216,10.04678071,8.949772556,7.814061976
Switzerland,CHE,4.8,4.4,4.49,4.75,4.83,4.8
Channel Islands,CHI,6.28,6.35,6.37,6.41,6.51,6.62
Chile,CHL,8.42,7.34,6.66,6.21,6.67,6.51
China,CHN,4.5,4.5,4.6,4.6,4.6,4.6
Cote d'Ivoire,CIV,6.71,6.96,7.22,4.25,3.65,3.1
Cameroon,CMR,4.11,3.97,3.84,3.71,3.53,3.51
"Congo, Dem. Rep.",COD,3.98,4.22,4.49,4.49,4.44,4.4
"Congo, Rep.",COG,13.95,11.89,10.0,10.01,9.95,9.9
Colombia,COL,10.98,10.11,9.74,9.05,8.57,8.3
Comoros,COM,6.6,6.98,7.39,7.81,8.14,8.09
Cabo Verde,CPV,10.67,10.93,11.21,11.49,11.69,11.9
Costa Rica,CRI,7.17,10.14,9.78,8.77,9.06,9.0
Caribbean small states,CSS,10.35345155,10.53233848,11.16144403,11.70418676,10.8999867,10.65520003
Cuba,CUB,2.5,3.18,3.46,3.29,2.7,2.4
Cyprus,CYP,6.26,7.86,11.8,15.87,16.09,14.91
Czech Republic,CZE,7.28,6.71,6.98,6.95,6.11,5.05
Germany,DEU,6.97,5.82,5.38,5.23,4.98,4.62
Djibouti,DJI,11.52,11.51,11.52,11.54,11.45,11.39
Denmark,DNK,7.75,7.77,7.8,7.38,6.93,6.28
Dominican Republic,DOM,5.21,6.09,6.72,7.35,6.72,7.61
Algeria,DZA,9.96,9.96,10.97,9.82,10.21,11.21
East Asia & Pacific (excluding high income),EAP,4.126473387,4.063121058,4.053099153,4.039910508,4.018109967,4.076293151
Early-demographic dividend,EAR,5.727839176,5.675137185,5.653828083,5.732487262,5.65200526,5.787183747
East Asia & Pacific,EAS,4.198877173,4.091287034,4.065747004,4.037952591,4.006021361,4.047187954
Europe & Central Asia (excluding high income),ECA,8.432889907,7.818524569,7.217304958,7.239885694,7.426846242,7.541087594
Europe & Central Asia,ECS,9.017600149,8.761266213,8.969747338,9.197365047,8.949873246,8.546152663
Ecuador,ECU,4.09,3.46,3.24,3.08,3.48,3.62
"Egypt, Arab Rep.",EGY,8.76,11.85,12.6,13.15,13.11,13.05
Euro area,EMU,10.0705581,10.11013023,11.29050735,11.92764183,11.60362202,10.83792739
Eritrea,ERI,6.76,6.76,6.77,6.78,6.71,6.66
Spain,ESP,19.86,21.39,24.79,26.09,24.44,22.06
Estonia,EST,16.71,12.33,10.02,8.63,7.35,6.19
Ethiopia,ETH,2.34,2.3,2.28,2.25,2.22,2.2
European Union,EUU,9.800563319,9.838689372,10.808461,11.32879871,10.84778763,10.02450616
Fragile and conflict affected situations,FCS,5.274865187,5.304099844,5.342588033,5.411392609,5.585479342,5.56292286
Finland,FIN,8.39,7.78,7.69,8.19,8.66,9.38
Fiji,FJI,4.32,4.41,4.42,4.44,4.39,4.36
France,FRA,8.87,8.81,9.4,9.92,10.29,10.35
Gabon,GAB,20.39,20.38,20.4,20.41,20.3,20.22
United Kingdom,GBR,7.79,8.04,7.89,7.52,6.11,5.3
Georgia,GEO,20.2,19.63,19.65,19.42,17.44,16.51
Ghana,GHA,5.32,5.62,5.93,6.26,6.52,6.81
Guinea,GIN,4.45,4.45,4.45,4.46,4.41,4.38
"Gambia, The",GMB,9.41,9.41,9.42,9.43,9.35,9.3
Guinea-Bissau,GNB,3.08,3.08,3.08,3.09,3.04,3.01
Equatorial Guinea,GNQ,8.42,8.42,8.43,8.44,8.36,8.31
Greece,GRC,12.71,17.87,24.44,27.47,26.49,24.9
Guatemala,GTM,3.5,3.12,2.77,3.02,2.72,2.51
Guam,GUM,8.2,13.3,12.2,11.5,7.6,6.9
Guyana,GUY,12.05,12.35,12.67,12.99,13.21,13.46
High income,HIC,8.231986057,7.897866367,7.935776716,7.844854797,7.240826923,6.625135933
"Hong Kong SAR, China",HKG,4.31,3.42,3.29,3.4,3.3,3.32
Honduras,HND,4.12,4.48,3.75,5.65,7.08,6.15
Heavily indebted poor countries (HIPC),HPC,5.030022012,4.985323185,4.879615782,4.743364229,4.660540446,4.692841095
Croatia,HRV,11.62,13.68,15.94,17.25,17.29,16.18
Haiti,HTI,15.34,14.7,14.1,14.12,14.02,13.95
Hungary,HUN,11.17,11.03,11.0,10.18,7.73,6.81
IBRD only,IBD,5.81340543,5.696393639,5.662748368,5.644849781,5.616504039,5.73788674
IDA & IBRD total,IBT,5.464166728,5.372271948,5.360534986,5.367671954,5.324640994,5.453342235
IDA total,IDA,4.066726155,4.096087993,4.183291246,4.301601194,4.21994436,4.396604306
IDA blend,IDB,2.862229629,2.869480483,3.134129939,3.56890337,3.410880434,3.976408679
Indonesia,IDN,5.61,5.15,4.47,4.34,4.05,4.51
IDA only,IDX,4.606754374,4.649326802,4.654094607,4.628130186,4.580438775,4.584798368
India,IND,5.65,5.65,5.66,5.67,5.6,5.56
Ireland,IRL,14.53,15.35,15.45,13.74,11.86,9.91
"Iran, Islamic Rep.",IRN,13.52,12.45,12.63,10.44,10.57,11.06
Iraq,IRQ,8.34,8.15,7.97,9.27,10.59,10.72
Iceland,ISL,7.56,7.03,6.0,5.38,4.9,3.98
Israel,ISR,8.48,7.14,6.86,6.21,5.89,5.25
Italy,ITA,8.36,8.36,10.66,12.15,12.68,11.9
Jamaica,JAM,12.37,12.7,13.93,15.25,13.74,13.51
Jordan,JOR,12.5,12.9,12.2,12.6,11.9,13.08
Japan,JPN,5.1,4.52,4.3,4.0,3.6,3.4
Kazakhstan,KAZ,5.77,5.39,5.29,5.2,5.06,4.93
Kenya,KEN,2.86,2.86,2.86,2.87,2.82,2.8
Kyrgyz Republic,KGZ,8.64,8.53,8.43,8.33,8.05,7.56
Cambodia,KHM,0.77,0.58,0.51,0.44,0.69,0.39
"Korea, Rep.",KOR,3.7,3.4,3.2,3.1,3.5,3.55
Kuwait,KWT,1.82,2.07,2.3,2.56,2.9,2.2
Latin America & Caribbean (excluding high income),LAC,6.839606956,6.376490623,6.330526501,6.245154341,6.046322852,6.634896056
Lao PDR,LAO,0.71,0.71,0.71,0.71,0.7,0.69
Lebanon,LBN,6.4,6.39,6.4,6.41,6.35,6.31
Liberia,LBR,2.27,2.24,2.21,2.19,2.13,2.08
Libya,LBY,19.03,19.02,19.03,19.05,18.94,18.87
St. Lucia,LCA,17.11,18.86,19.06,22.21,21.41,20.67
Latin America & Caribbean,LCN,6.94636838,6.474950493,6.392243707,6.341959807,6.167784805,6.691088339
Least developed countries: UN classification,LDC,4.511491269,4.498998442,4.514994168,4.528040317,4.481647731,4.507287327
Low income,LIC,4.974126802,4.950506804,4.976784406,4.877121274,4.853806606,4.879081516
Sri Lanka,LKA,4.78,4.12,3.88,4.24,4.19,4.52
Lower middle income,LMC,5.145084779,5.134028064,5.119218408,5.144513464,5.086743429,5.221752197
Low & middle income,LMY,5.396150468,5.307729367,5.296202008,5.298399111,5.261978189,5.404040105
Lesotho,LSO,26.81,26.04,25.3,24.58,24.47,24.4
Late-demographic dividend,LTE,5.174448508,5.035186293,5.040167636,5.001848463,4.91752437,5.06864189
Lithuania,LTU,17.81,15.39,13.37,11.77,10.7,9.12
Luxembourg,LUX,4.36,4.9,5.14,5.85,5.85,6.67
Latvia,LVA,19.48,16.21,15.05,11.87,10.85,9.87
"Macao SAR, China",MAC,2.84,2.56,1.97,1.82,1.7,1.81
Morocco,MAR,9.09,8.91,8.99,9.23,9.7,9.46
Moldova,MDA,7.45,6.68,5.58,5.1,3.86,3.69
Madagascar,MDG,4.28,2.02,0.6,0.94,1.33,1.79
Maldives,MDV,10.28,8.86,7.57,6.37,5.21,5.67
Middle East & North Africa,MEA,9.498380282,10.00146548,10.19035732,9.834299983,9.951817659,10.05505489
Mexico,MEX,5.3,5.17,4.89,4.91,4.81,4.31
Middle income,MIC,5.431174069,5.337834145,5.323522042,5.33506303,5.298117107,5.45139596
North Macedonia,MKD,32.02,31.38,31.02,29.0,28.03,26.07
Mali,MLI,8.07,6.9,6.62,6.35,6.38,7.73
Malta,MLT,6.85,6.38,6.2,6.11,5.73,5.38
Myanmar,MMR,0.79,0.79,0.79,0.8,0.78,0.77
Middle East & North Africa (excluding high income),MNA,10.72604577,11.43489157,11.76348696,11.37029772,11.55664544,11.78048837
Montenegro,MNE,19.65,19.67,19.97,19.5,18.0,17.54
Mongolia,MNG,6.55,4.77,3.91,4.23,4.8,4.86
Mozambique,MOZ,3.25,3.3,3.35,3.41,3.41,3.43
Mauritania,MRT,9.86,9.86,9.87,10.04,10.12,10.22
Mauritius,MUS,7.65,7.45,7.47,7.32,7.47,7.41
Malawi,MWI,5.94,5.93,5.94,5.95,5.89,5.85
Malaysia,MYS,3.25,3.05,3.04,3.11,2.88,3.1
North America,NAC,9.461070717,8.794088324,7.985607186,7.346131113,6.250799766,5.457870891
Namibia,NAM,22.1,19.33,16.77,19.03,18.52,20.89
New Caledonia,NCL,14.03,14.18,14.27,14.38,14.59,14.75
Niger,NER,0.58,0.32,2.18,1.22,0.52,0.52
Nigeria,NGA,3.77,3.77,3.74,3.7,4.56,4.31
Nicaragua,NIC,7.83,6.45,5.21,5.28,4.52,4.7
Netherlands,NLD,4.99,4.98,5.82,7.24,7.42,6.87
Norway,NOR,3.52,3.22,3.12,3.42,3.48,4.3
Nepal,NPL,1.88,2.11,2.36,2.63,2.85,3.1
New Zealand,NZL,6.56,6.49,6.93,5.77,5.37,5.35
OECD members,OED,8.427840419,8.038439877,8.015921157,7.929324713,7.4128536,6.836844091
Oman,OMN,3.71,3.64,3.52,3.42,3.37,3.32
Other small states,OSS,11.1524648,10.62847299,10.34401453,10.48709418,10.23342657,10.15648559
Pakistan,PAK,0.65,0.8,1.7,2.95,1.83,3.57
Panama,PAN,3.71,2.31,2.39,2.3,2.72,3.0
Peru,PER,3.3,3.27,2.94,3.21,2.85,2.92
Philippines,PHL,3.61,3.59,3.5,3.5,3.6,3.07
Papua New Guinea,PNG,2.0,2.62,2.63,2.63,2.59,2.56
Poland,POL,9.64,9.63,10.09,10.33,8.99,7.5
Pre-demographic dividend,PRE,5.320516082,5.221928759,5.151831191,5.03542828,5.150285583,5.122973991
Puerto Rico,PRI,16.1,15.7,14.5,14.3,13.9,12.0
"Korea, Dem. People's Rep.",PRK,2.9,2.9,2.9,2.91,2.86,2.83
Portugal,PRT,10.77,12.68,15.53,16.18,13.89,12.44
Paraguay,PRY,4.57,4.67,4.09,4.39,5.03,4.56
West Bank and Gaza,PSE,21.42,17.6,19.2,19.89,20.53,23.01
Pacific island small states,PSS,3.130623159,3.065667492,3.134958106,3.032453244,2.970583243,2.923102627
Post-demographic dividend,PST,8.30417316,8.013469535,8.068222338,7.98001681,7.459797421,6.866274123
French Polynesia,PYF,11.58,11.67,11.71,11.77,11.92,12.06
Qatar,QAT,0.45,0.56,0.48,0.28,0.2,0.17
Romania,ROU,6.96,7.18,6.79,7.1,6.8,6.81
Russian Federation,RUS,7.37,6.54,5.44,5.46,5.16,5.57
Rwanda,RWA,1.07,1.1,1.14,1.18,1.17,1.14
South Asia,SAS,4.931766791,4.963764868,5.085329325,5.261257162,5.092405822,5.245459209
Saudi Arabia,SAU,5.55,5.77,5.52,5.57,5.72,5.59
