COUNTRY OF NATIONALITY,ALONE,WITH SPOUSE,WITH CHILDREN,WITH FAMILY/RELATIVES,STUDENT GROUP,WITH FRIENDS,WITH BUSINESS ACCOCIATE,WITH INCENTIVE GROUP,OTHERS
SINGAPORE,16.9,34.6,5.0,25.3,0.7,14.4,0.6,2.5,0.1
THAILAND,20.6,6.7,7.2,33.5,1.2,29.8,0.4,0.4,0.2
INDONESIA,11.3,31.1,4.0,34.4,1.1,14.7,0.7,2.3,0.5
BRUNEI,17.5,28.1,2.0,40.0,0.1,11.6,0.4,0.1,0.1
PHILIPPINES,5.5,20.6,0.7,29.5,0.5,39.2,1.6,1.6,0.7
VIETNAM,0.9,12.3,2.8,44.2,0.0,30.2,0.6,6.1,3.0
CHINA,1.9,23.9,0.7,39.3,0.8,22.1,1.1,9.7,0.4
JAPAN,4.2,22.7,0.2,26.3,1.9,25.3,17.4,1.3,0.5
SOUTH KOREA,1.6,29.1,0.1,33.5,0.0,28.7,1.0,5.9,0.1
TAIWAN,0.3,28.1,0.0,34.3,1.6,31.4,1.5,2.4,0.3
INDIA,1.4,19.2,1.0,49.6,0.1,19.3,1.1,7.7,0.6
PAKISTAN,4.3,24.2,0.6,29.2,3.5,26.4,5.3,5.3,1.2
SAUDI ARABIA,1.1,49.9,0.3,43.7,0.0,4.2,0.7,0.2,0.0
UNITED ARAB EMIRATES,1.6,32.2,0.8,50.2,3.1,5.5,2.0,0.0,4.7
OMAN,1.2,46.6,0.0,47.1,0.0,3.9,0.0,1.2,0.0
KUWAIT,0.5,25.2,0.5,53.3,3.3,5.7,7.1,0.0,4.3
IRAN,1.4,27.0,0.0,58.7,0.2,11.0,1.0,0.8,0.0
CANADA,12.5,36.0,0.4,18.4,2.7,28.9,1.0,0.0,0.2
USA,14.7,38.4,0.7,12.2,0.6,30.7,2.3,0.0,0.4
UNITED KINGDOM,10.8,38.5,0.8,19.4,1.0,28.0,1.3,0.0,0.2
IRELAND,11.9,43.8,1.5,15.4,0.5,26.5,0.5,0.0,0.0
SWEDEN,4.3,42.6,0.3,15.7,0.0,33.1,3.5,0.0,0.5
DENMARK,14.0,36.5,0.0,22.1,0.4,25.4,1.2,0.4,0.0
FINLAND,14.0,36.5,0.5,7.0,0.0,41.0,0.5,0.0,0.5
NORWAY,4.5,26.1,0.0,9.7,11.2,48.5,0.0,0.0,0.0
ITALY,7.8,32.5,0.3,15.7,0.2,40.6,2.5,0.5,0.0
SPAIN,9.4,42.4,0.2,15.2,0.2,31.8,0.9,0.0,0.0
FRANCE,8.3,33.4,1.2,23.3,1.1,31.7,0.8,0.0,0.2
BELGIUM,5.7,31.1,1.2,20.5,0.0,34.9,6.6,0.0,0.0
NETHERLANDS,10.2,39.2,0.3,16.4,0.5,32.5,0.7,0.0,0.2
GERMANY,9.4,42.9,1.6,11.1,0.1,32.2,1.1,1.5,0.1
SWITZERLAND,13.7,30.0,0.4,15.6,0.0,40.3,0.0,0.0,0.0
RUSSIA,8.0,31.0,1.2,24.7,0.0,32.5,1.7,0.0,0.9
AUSTRALIA,9.7,41.6,1.1,19.2,1.2,25.3,1.2,0.1,0.6
NEW ZEALAND,13.3,34.6,4.2,19.2,0.0,25.6,1.8,0.0,1.2
SOUTH AFRICA,3.3,30.3,2.0,36.8,1.3,20.4,3.9,0.0,2.0
CENTRAL ASIA,3.9,24.4,0.7,31.7,6.2,20.7,1.1,6.0,5.3
OTHER ASEAN,0.8,23.1,0.3,46.1,0.2,28.1,0.2,0.2,1.0
OTHER EAST ASIA,2.3,16.0,0.8,48.3,0.8,20.7,6.8,4.5,0.0
OTHERS SOUTH ASIA,5.2,30.4,1.0,43.3,0.9,15.6,2.0,0.7,0.9
OTHERS WEST ASIA,6.2,29.6,0.6,21.7,0.0,39.0,1.7,0.2,1.0
OTHERS AMERICAS,9.3,33.0,0.6,18.8,0.0,36.7,1.4,0.1,0.1
OTHERS EUROPE,5.3,32.0,0.8,33.0,3.1,20.2,3.2,1.9,0.5
OTHERS,18.3,57.1,9.7,7.5,1.6,1.9,3.9,0.0,0.0
