STATION,DATE,REPORT_TYPE,HourlyDryBulbTemperature
72295023174,2019-01-01T00:49:00,FM-16,52
72295023174,2019-01-01T00:53:00,FM-15,51
72295023174,2019-01-01T01:53:00,FM-15,52
72295023174,2019-01-01T02:53:00,FM-15,49
72295023174,2019-01-01T03:53:00,FM-15,43
72295023174,2019-01-01T04:00:00,FM-12,43
72295023174,2019-01-01T04:53:00,FM-15,46
72295023174,2019-01-01T05:53:00,FM-15,47
72295023174,2019-01-01T06:53:00,FM-15,44
72295023174,2019-01-01T07:53:00,FM-15,47
72295023174,2019-01-01T08:53:00,FM-15,49
72295023174,2019-01-01T09:53:00,FM-15,54
72295023174,2019-01-01T10:00:00,FM-12,54
72295023174,2019-01-01T10:53:00,FM-15,56
72295023174,2019-01-01T11:53:00,FM-15,57
72295023174,2019-01-01T12:53:00,FM-15,58
72295023174,2019-01-01T13:53:00,FM-15,60
72295023174,2019-01-01T14:53:00,FM-15,62
72295023174,2019-01-01T15:53:00,FM-15,61
72295023174,2019-01-01T16:00:00,FM-12,61
72295023174,2019-01-01T16:53:00,FM-15,58
72295023174,2019-01-01T17:53:00,FM-15,56
72295023174,2019-01-01T18:53:00,FM-15,55
72295023174,2019-01-01T19:53:00,FM-15,53
72295023174,2019-01-01T20:53:00,FM-15,51
72295023174,2019-01-01T21:53:00,FM-15,51
72295023174,2019-01-01T22:00:00,FM-12,51
72295023174,2019-01-01T22:53:00,FM-15,53
72295023174,2019-01-01T23:53:00,FM-15,51
72295023174,2019-01-02T00:53:00,FM-15,46
72295023174,2019-01-02T01:53:00,FM-15,46
72295023174,2019-01-02T02:53:00,FM-15,46
72295023174,2019-01-02T03:53:00,FM-15,45
72295023174,2019-01-02T04:00:00,FM-12,45
72295023174,2019-01-02T04:53:00,FM-15,47
72295023174,2019-01-02T05:53:00,FM-15,40
72295023174,2019-01-02T06:53:00,FM-15,45
72295023174,2019-01-02T07:53:00,FM-15,45
72295023174,2019-01-02T08:53:00,FM-15,50
72295023174,2019-01-02T09:53:00,FM-15,55
72295023174,2019-01-02T10:00:00,FM-12,55
72295023174,2019-01-02T10:53:00,FM-15,57
72295023174,2019-01-02T11:53:00,FM-15,59
72295023174,2019-01-02T12:53:00,FM-15,60
72295023174,2019-01-02T13:53:00,FM-15,61
72295023174,2019-01-02T14:53:00,FM-15,59
72295023174,2019-01-02T15:53:00,FM-15,58
72295023174,2019-01-02T16:00:00,FM-12,58
72295023174,2019-01-02T16:53:00,FM-15,56
72295023174,2019-01-02T17:53:00,FM-15,55
72295023174,2019-01-02T18:53:00,FM-15,56
72295023174,2019-01-02T19:53:00,FM-15,55
72295023174,2019-01-02T20:53:00,FM-15,51
72295023174,2019-01-02T21:53:00,FM-15,51
72295023174,2019-01-02T22:00:00,FM-12,51
72295023174,2019-01-02T22:53:00,FM-15,51
72295023174,2019-01-02T23:53:00,FM-15,50
72295023174,2019-01-03T00:53:00,FM-15,49
72295023174,2019-01-03T01:53:00,FM-15,47
72295023174,2019-01-03T02:53:00,FM-15,47
72295023174,2019-01-03T03:53:00,FM-15,48
72295023174,2019-01-03T04:00:00,FM-12,48
72295023174,2019-01-03T04:53:00,FM-15,47
72295023174,2019-01-03T05:53:00,FM-15,46
72295023174,2019-01-03T06:53:00,FM-15,50
72295023174,2019-01-03T07:53:00,FM-15,51
72295023174,2019-01-03T08:53:00,FM-15,57
72295023174,2019-01-03T09:53:00,FM-15,60
72295023174,2019-01-03T10:00:00,FM-12,60
72295023174,2019-01-03T10:53:00,FM-15,63
72295023174,2019-01-03T11:53:00,FM-15,65
72295023174,2019-01-03T12:53:00,FM-15,64
72295023174,2019-01-03T13:53:00,FM-15,64
72295023174,2019-01-03T14:53:00,FM-15,61
72295023174,2019-01-03T15:53:00,FM-15,61
72295023174,2019-01-03T16:00:00,FM-12,61
72295023174,2019-01-03T16:53:00,FM-15,58
72295023174,2019-01-03T17:53:00,FM-15,57
72295023174,2019-01-03T18:53:00,FM-15,57
72295023174,2019-01-03T19:53:00,FM-15,56
72295023174,2019-01-03T20:53:00,FM-15,56
72295023174,2019-01-03T21:53:00,FM-15,56
72295023174,2019-01-03T22:00:00,FM-12,56
72295023174,2019-01-03T22:53:00,FM-15,52
72295023174,2019-01-03T23:53:00,FM-15,51
72295023174,2019-01-04T00:53:00,FM-15,50
72295023174,2019-01-04T01:53:00,FM-15,48
72295023174,2019-01-04T02:53:00,FM-15,47
72295023174,2019-01-04T03:53:00,FM-15,47
72295023174,2019-01-04T04:00:00,FM-12,47
72295023174,2019-01-04T04:53:00,FM-15,48
72295023174,2019-01-04T05:53:00,FM-15,47
72295023174,2019-01-04T06:53:00,FM-15,47
72295023174,2019-01-04T07:53:00,FM-15,49
72295023174,2019-01-04T08:53:00,FM-15,53
72295023174,2019-01-04T09:53:00,FM-15,57
72295023174,2019-01-04T10:00:00,FM-12,57
72295023174,2019-01-04T10:53:00,FM-15,59
72295023174,2019-01-04T11:53:00,FM-15,61
72295023174,2019-01-04T12:53:00,FM-15,63
72295023174,2019-01-04T13:53:00,FM-15,62
72295023174,2019-01-04T14:53:00,FM-15,61
72295023174,2019-01-04T15:53:00,FM-15,60
72295023174,2019-01-04T16:00:00,FM-12,60
72295023174,2019-01-04T16:53:00,FM-15,59
72295023174,2019-01-04T17:53:00,FM-15,57
72295023174,2019-01-04T18:53:00,FM-15,56
72295023174,2019-01-04T19:53:00,FM-15,56
72295023174,2019-01-04T20:53:00,FM-15,56
72295023174,2019-01-04T21:53:00,FM-15,55
72295023174,2019-01-04T22:00:00,FM-12,55
72295023174,2019-01-04T22:53:00,FM-15,54
72295023174,2019-01-04T23:53:00,FM-15,54
72295023174,2019-01-05T00:53:00,FM-15,50
72295023174,2019-01-05T01:53:00,FM-15,50
72295023174,2019-01-05T02:53:00,FM-15,51
72295023174,2019-01-05T03:53:00,FM-15,50
72295023174,2019-01-05T04:00:00,FM-12,50
72295023174,2019-01-05T04:53:00,FM-15,50
72295023174,2019-01-05T05:53:00,FM-15,51
72295023174,2019-01-05T06:53:00,FM-15,51
72295023174,2019-01-05T07:53:00,FM-15,52
72295023174,2019-01-05T08:53:00,FM-15,53
72295023174,2019-01-05T09:20:00,FM-16,54
72295023174,2019-01-05T09:51:00,FM-16,55
72295023174,2019-01-05T09:53:00,FM-15,55
72295023174,2019-01-05T10:00:00,FM-12,55
72295023174,2019-01-05T10:53:00,FM-15,57
72295023174,2019-01-05T11:51:00,FM-16,57
72295023174,2019-01-05T11:53:00,FM-15,57
72295023174,2019-01-05T12:20:00,FM-16,58
72295023174,2019-01-05T12:53:00,FM-15,58
72295023174,2019-01-05T13:42:00,FM-16,58
72295023174,2019-01-05T13:53:00,FM-15,58
72295023174,2019-01-05T14:14:00,FM-16,58
72295023174,2019-01-05T14:51:00,FM-16,57
72295023174,2019-01-05T14:53:00,FM-15,58
72295023174,2019-01-05T15:51:00,FM-16,57
72295023174,2019-01-05T15:53:00,FM-15,57
72295023174,2019-01-05T16:00:00,FM-12,57
72295023174,2019-01-05T16:53:00,FM-15,56
72295023174,2019-01-05T17:53:00,FM-15,55
72295023174,2019-01-05T18:30:00,FM-16,55
72295023174,2019-01-05T18:53:00,FM-15,54
72295023174,2019-01-05T19:53:00,FM-15,52
72295023174,2019-01-05T20:51:00,FM-16,52
72295023174,2019-01-05T20:53:00,FM-15,51
72295023174,2019-01-05T20:59:00,FM-16,51
72295023174,2019-01-05T21:09:00,FM-16,50
72295023174,2019-01-05T21:15:00,FM-16,50
72295023174,2019-01-05T21:30:00,FM-16,50
72295023174,2019-01-05T21:53:00,FM-15,50
72295023174,2019-01-05T22:00:00,FM-12,50
72295023174,2019-01-05T22:53:00,FM-15,51
72295023174,2019-01-05T23:53:00,FM-15,50
72295023174,2019-01-06T00:53:00,FM-15,50
72295023174,2019-01-06T01:53:00,FM-15,51
72295023174,2019-01-06T02:53:00,FM-15,51
72295023174,2019-01-06T03:53:00,FM-15,51
72295023174,2019-01-06T03:59:00,FM-16,51
72295023174,2019-01-06T04:00:00,FM-12,51
72295023174,2019-01-06T04:41:00,FM-16,50
72295023174,2019-01-06T04:53:00,FM-15,50
72295023174,2019-01-06T05:53:00,FM-15,50
72295023174,2019-01-06T06:53:00,FM-15,50
72295023174,2019-01-06T07:14:00,FM-16,50
72295023174,2019-01-06T07:53:00,FM-15,51
72295023174,2019-01-06T08:53:00,FM-15,55
72295023174,2019-01-06T09:53:00,FM-15,58
72295023174,2019-01-06T10:00:00,FM-12,58
72295023174,2019-01-06T10:53:00,FM-15,57
72295023174,2019-01-06T11:53:00,FM-15,58
72295023174,2019-01-06T12:53:00,FM-15,57
72295023174,2019-01-06T13:53:00,FM-15,58
72295023174,2019-01-06T14:53:00,FM-15,59
72295023174,2019-01-06T15:53:00,FM-15,58
72295023174,2019-01-06T16:00:00,FM-12,58
72295023174,2019-01-06T16:53:00,FM-15,57
72295023174,2019-01-06T17:53:00,FM-15,56
72295023174,2019-01-06T18:53:00,FM-15,57
72295023174,2019-01-06T19:53:00,FM-15,57
72295023174,2019-01-06T20:53:00,FM-15,56
72295023174,2019-01-06T21:53:00,FM-15,56
72295023174,2019-01-06T22:00:00,FM-12,56
72295023174,2019-01-06T22:08:00,FM-16,56
72295023174,2019-01-06T22:44:00,FM-16,56
72295023174,2019-01-06T22:53:00,FM-15,56
72295023174,2019-01-06T23:53:00,FM-15,55
72295023174,2019-01-07T00:53:00,FM-15,54
72295023174,2019-01-07T01:53:00,FM-15,53
72295023174,2019-01-07T02:41:00,FM-16,52
72295023174,2019-01-07T02:53:00,FM-15,52
72295023174,2019-01-07T03:47:00,FM-16,51
72295023174,2019-01-07T03:53:00,FM-15,52
72295023174,2019-01-07T04:00:00,FM-12,52
72295023174,2019-01-07T04:32:00,FM-16,51
72295023174,2019-01-07T04:53:00,FM-15,51
72295023174,2019-01-07T05:51:00,FM-16,52
72295023174,2019-01-07T05:53:00,FM-15,51
72295023174,2019-01-07T06:51:00,FM-16,52
72295023174,2019-01-07T06:53:00,FM-15,51
72295023174,2019-01-07T07:53:00,FM-15,51
72295023174,2019-01-07T08:51:00,FM-16,52
72295023174,2019-01-07T08:53:00,FM-15,51
72295023174,2019-01-07T09:25:00,FM-16,53
72295023174,2019-01-07T09:38:00,FM-16,53
72295023174,2019-01-07T09:53:00,FM-15,54
72295023174,2019-01-07T10:00:00,FM-12,54
72295023174,2019-01-07T10:51:00,FM-16,54
72295023174,2019-01-07T10:53:00,FM-15,54
72295023174,2019-01-07T11:53:00,FM-15,55
72295023174,2019-01-07T12:28:00,FM-16,56
72295023174,2019-01-07T12:53:00,FM-15,56
72295023174,2019-01-07T13:30:00,FM-16,57
72295023174,2019-01-07T13:53:00,FM-15,58
72295023174,2019-01-07T14:19:00,FM-16,59
72295023174,2019-01-07T14:53:00,FM-15,59
72295023174,2019-01-07T15:29:00,FM-16,58
72295023174,2019-01-07T15:53:00,FM-15,59
72295023174,2019-01-07T16:00:00,FM-12,59
72295023174,2019-01-07T16:41:00,FM-16,59
72295023174,2019-01-07T16:53:00,FM-15,60
72295023174,2019-01-07T17:13:00,FM-16,59
72295023174,2019-01-07T17:53:00,FM-15,59
72295023174,2019-01-07T18:53:00,FM-15,58
72295023174,2019-01-07T19:53:00,FM-15,58
72295023174,2019-01-07T20:53:00,FM-15,57
72295023174,2019-01-07T21:53:00,FM-15,57
72295023174,2019-01-07T22:00:00,FM-12,57
72295023174,2019-01-07T22:53:00,FM-15,56
72295023174,2019-01-07T23:53:00,FM-15,55
72295023174,2019-01-08T00:53:00,FM-15,54
72295023174,2019-01-08T01:53:00,FM-15,53
72295023174,2019-01-08T02:53:00,FM-15,52
72295023174,2019-01-08T03:53:00,FM-15,52
72295023174,2019-01-08T04:00:00,FM-12,52
72295023174,2019-01-08T04:53:00,FM-15,52
72295023174,2019-01-08T05:53:00,FM-15,55
72295023174,2019-01-08T06:53:00,FM-15,54
72295023174,2019-01-08T07:53:00,FM-15,57
72295023174,2019-01-08T08:53:00,FM-15,60
72295023174,2019-01-08T09:53:00,FM-15,64
72295023174,2019-01-08T10:00:00,FM-12,64
72295023174,2019-01-08T10:53:00,FM-15,67
72295023174,2019-01-08T11:53:00,FM-15,68
72295023174,2019-01-08T12:53:00,FM-15,70
72295023174,2019-01-08T13:53:00,FM-15,67
72295023174,2019-01-08T14:53:00,FM-15,65
72295023174,2019-01-08T15:53:00,FM-15,62
72295023174,2019-01-08T16:00:00,FM-12,62
72295023174,2019-01-08T16:53:00,FM-15,62
72295023174,2019-01-08T17:53:00,FM-15,60
72295023174,2019-01-08T18:53:00,FM-15,60
72295023174,2019-01-08T19:53:00,FM-15,60
72295023174,2019-01-08T20:53:00,FM-15,58
