Type,Combined_MPG,Make_Model
Two Seaters,21,Acura_NSX
Two Seaters,27.9406,ALFA ROMEO_4C
Two Seaters,20.9455,Aston Martin Lagonda Ltd_Vantage V8
Two Seaters,25.9952,Audi_TT Roadster quattro
Two Seaters,27.63,BMW_Z4 sDrive30i
Two Seaters,10.5921,Bugatti_Chiron
Two Seaters,14.5801,Chevrolet_CORVETTE
Two Seaters,18.1592,Chevrolet_CORVETTE
Two Seaters,16.7698,Chevrolet_CORVETTE
Two Seaters,15.0434,Chevrolet_CORVETTE
Two Seaters,17.3975,Chevrolet_CORVETTE
Two Seaters,19.2406,Chevrolet_CORVETTE
Two Seaters,17.9082,"Ferrari North America, Inc._488 gtb"
Two Seaters,17.731,"Ferrari North America, Inc._488 gtb"
Two Seaters,16.8163,"Ferrari North America, Inc._488 Pista"
Two Seaters,16.6115,"Ferrari North America, Inc._488 Pista Spider"
Two Seaters,17.9082,"Ferrari North America, Inc._488 Spider"
Two Seaters,17.731,"Ferrari North America, Inc._488 Spider"
Two Seaters,13.3412,"Ferrari North America, Inc._812 Superfast"
Two Seaters,29.2998,FIAT_124 Spider
Two Seaters,29.6662,FIAT_124 Spider
Two Seaters,13.6147,Ford_FORD GT
Two Seaters,25.6626,Jaguar_F-TYPE Convertible
Two Seaters,22.6919,Jaguar_F-TYPE Convertible
Two Seaters,18.6648,Jaguar_F-TYPE Convertible Manual
Two Seaters,25.6626,Jaguar_F-TYPE Coupe
Two Seaters,22.6919,Jaguar_F-TYPE Coupe
Two Seaters,18.6648,Jaguar_F-TYPE Coupe Manual
Two Seaters,17.5299,Jaguar_F-TYPE R AWD Convertible
Two Seaters,17.5299,Jaguar_F-TYPE R AWD Coupe
Two Seaters,20.8635,Jaguar_F-TYPE S AWD Convertible
Two Seaters,20.8635,Jaguar_F-TYPE S AWD Coupe
Two Seaters,21.8371,Jaguar_F-TYPE S Convertible
Two Seaters,18.2667,Jaguar_F-TYPE S Convertible Manual
Two Seaters,21.8371,Jaguar_F-TYPE S Coupe
Two Seaters,18.2667,Jaguar_F-TYPE S Coupe Manual
Two Seaters,18.4489,Jaguar_F-TYPE SVR AWD Convertible GEN2
Two Seaters,18.4489,Jaguar_F-TYPE SVR AWD Coupe GEN2
Two Seaters,10.9592,Lamborghini_Aventador Coupe
Two Seaters,10.8311,Lamborghini_Aventador Roadster
Two Seaters,15.0849,Lamborghini_Huracan
Two Seaters,14.8306,Lamborghini_Huracan 2WD
Two Seaters,15.0849,Lamborghini_Huracan Spyder
Two Seaters,14.8306,Lamborghini_Huracan Spyder 2WD
Two Seaters,29.7239,MAZDA_MX-5
Two Seaters,29.0373,MAZDA_MX-5
Two Seaters,18.1314,Mercedes-Benz_AMG GT (coupe)
Two Seaters,18.1314,Mercedes-Benz_AMG GT (roadster)
Two Seaters,17.4463,Mercedes-Benz_AMG GT C (coupe)
Two Seaters,17.4463,Mercedes-Benz_AMG GT C (roadster)
Two Seaters,16.7621,Mercedes-Benz_AMG GT R (coupe)
Two Seaters,18.0499,Mercedes-Benz_AMG GT S (coupe)
Two Seaters,18.0824,Mercedes-Benz_AMG SL 63
Two Seaters,23.1054,Mercedes-Benz_AMG SLC 43
Two Seaters,22.7835,Mercedes-Benz_SL 450
Two Seaters,20.2956,Mercedes-Benz_SL 550
Two Seaters,26.7683,Mercedes-Benz_SLC 300
Two Seaters,21.7596,NISSAN_370Z
Two Seaters,19.9574,NISSAN_370Z
Two Seaters,20.752,NISSAN_370Z Roadster
Two Seaters,17.4,Porsche_911 GT2 RS
Two Seaters,16.8799,Porsche_911 GT3
Two Seaters,15.6065,Porsche_911 GT3
Two Seaters,16.4,Porsche_911 GT3 RS
Two Seaters,16.7203,Porsche_911 GT3 Touring
Two Seaters,25.056,Porsche_Boxster
Two Seaters,24.01,Porsche_Boxster
Two Seaters,22.0876,Porsche_Boxster GTS
Two Seaters,21.315,Porsche_Boxster GTS
Two Seaters,23.8147,Porsche_Boxster S
Two Seaters,22.0217,Porsche_Boxster S
Two Seaters,25.056,Porsche_Cayman
Two Seaters,24.01,Porsche_Cayman
Two Seaters,22.0876,Porsche_Cayman GTS
Two Seaters,21.315,Porsche_Cayman GTS
Two Seaters,23.8147,Porsche_Cayman S
Two Seaters,22.0217,Porsche_Cayman S
Minicompact Cars,17.7222,Aston Martin Lagonda Ltd_DB11 V12
Minicompact Cars,20.4132,Aston Martin Lagonda Ltd_DB11 V8
Minicompact Cars,17.0315,Aston Martin Lagonda Ltd_DBS
Minicompact Cars,15.9815,Aston Martin Lagonda Ltd_Vanquish S
Minicompact Cars,13.3849,"Ferrari North America, Inc._GTC4Lusso"
Minicompact Cars,16.994,"Ferrari North America, Inc._GTC4Lusso T"
Minicompact Cars,18.1715,"Ferrari North America, Inc._Portofino"
Minicompact Cars,27.1466,FIAT_500
Minicompact Cars,29.7651,FIAT_500
Minicompact Cars,27.1466,FIAT_500 Abarth
Minicompact Cars,29.7651,FIAT_500 Abarth
Minicompact Cars,29.8564,Mini_COOPER CONVERTIBLE
Minicompact Cars,31.4195,Mini_COOPER CONVERTIBLE
Minicompact Cars,28.187,Mini_COOPER S CONVERTIBLE
Minicompact Cars,26.2704,Mini_COOPER S CONVERTIBLE
Minicompact Cars,28.187,Mini_JOHN COOPER WORKS CONVERTIBLE
Minicompact Cars,25.3168,Mini_JOHN COOPER WORKS CONVERTIBLE
Minicompact Cars,24.9121,Porsche_911 Carrera
Minicompact Cars,23.2007,Porsche_911 Carrera
Minicompact Cars,24.4828,Porsche_911 Carrera 4
Minicompact Cars,22.7014,Porsche_911 Carrera 4
Minicompact Cars,23.9721,Porsche_911 Carrera 4 Cabriolet
Minicompact Cars,22.3791,Porsche_911 Carrera 4 Cabriolet
Minicompact Cars,22.1,Porsche_911 Carrera 4 GTS
Minicompact Cars,21.3,Porsche_911 Carrera 4 GTS
Minicompact Cars,21.9,Porsche_911 Carrera 4 GTS Cabriolet
Minicompact Cars,21.1,Porsche_911 Carrera 4 GTS Cabriolet
Minicompact Cars,23.7716,Porsche_911 Carrera 4S
Minicompact Cars,22.556,Porsche_911 Carrera 4S
Minicompact Cars,23.8559,Porsche_911 Carrera 4S Cabriolet
Minicompact Cars,22.3499,Porsche_911 Carrera 4S Cabriolet
Minicompact Cars,24.2773,Porsche_911 Carrera Cabriolet
Minicompact Cars,22.8334,Porsche_911 Carrera Cabriolet
Minicompact Cars,22.6,Porsche_911 Carrera GTS
Minicompact Cars,21.1,Porsche_911 Carrera GTS
Minicompact Cars,22.1,Porsche_911 Carrera GTS Cabriolet
Minicompact Cars,21.3,Porsche_911 Carrera GTS Cabriolet
Minicompact Cars,24.346,Porsche_911 Carrera S
Minicompact Cars,22.7422,Porsche_911 Carrera S
Minicompact Cars,24.178,Porsche_911 Carrera S Cabriolet
Minicompact Cars,22.6436,Porsche_911 Carrera S Cabriolet
Minicompact Cars,22.1,Porsche_911 Carrera T
Minicompact Cars,19.2,Porsche_911 Carrera T
Minicompact Cars,24.1096,Porsche_911 Targa 4
Minicompact Cars,22.3791,Porsche_911 Targa 4
Minicompact Cars,21.8,Porsche_911 Targa 4 GTS
Minicompact Cars,20.6,Porsche_911 Targa 4 GTS
Minicompact Cars,23.5679,Porsche_911 Targa 4S
Minicompact Cars,22.3499,Porsche_911 Targa 4S
Minicompact Cars,20.6637,Porsche_911 Turbo
Minicompact Cars,20.5915,Porsche_911 Turbo Cabriolet
Minicompact Cars,20.6637,Porsche_911 Turbo S
Minicompact Cars,20.5915,Porsche_911 Turbo S Cabriolet
Minicompact Cars,18.4626,Porsche_911 Turbo S Exclusive Cabriolet
Minicompact Cars,27.4825,Subaru_BRZ
Minicompact Cars,23.8737,Subaru_BRZ
Minicompact Cars,26.9993,TOYOTA_86
Minicompact Cars,23.798,TOYOTA_86
Subcompact Cars,16.6449,Aston Martin Lagonda Ltd_Rapide S
Subcompact Cars,29.137,Audi_A3
Subcompact Cars,29.137,Audi_A3 Cabriolet
Subcompact Cars,24.8879,Audi_A3 Cabriolet quattro
Subcompact Cars,24.5824,Audi_A3 quattro
Subcompact Cars,27.1178,Audi_A5 Cabriolet quattro
Subcompact Cars,27.1178,Audi_A5 quattro
Subcompact Cars,20.8936,Audi_RS 5
Subcompact Cars,24.6914,Audi_S3
Subcompact Cars,24.0356,Audi_S5
Subcompact Cars,23.6702,Audi_S5 Cabriolet
Subcompact Cars,25.9952,Audi_TT Coupe quattro
Subcompact Cars,25.0431,Audi_TTS Coupe
Subcompact Cars,26.7488,BMW_230i Convertible
Subcompact Cars,27.8358,BMW_230i Coupe
Subcompact Cars,24.9173,BMW_230i Coupe
Subcompact Cars,26.7896,BMW_230i xDrive Convertible
Subcompact Cars,27.1635,BMW_230i xDrive Coupe
Subcompact Cars,27.4016,BMW_430i Convertible
Subcompact Cars,25.7086,BMW_430i xDrive Convertible
Subcompact Cars,23.8507,BMW_440i Convertible
Subcompact Cars,23.1027,BMW_440i xDrive Convertible
Subcompact Cars,18.8793,BMW_M2 Competition
Subcompact Cars,20.1654,BMW_M2 Competition
Subcompact Cars,24.1256,BMW_M240i Convertible
Subcompact Cars,21.4481,BMW_M240i Convertible
Subcompact Cars,24.1256,BMW_M240i Coupe
Subcompact Cars,21.405,BMW_M240i Coupe
Subcompact Cars,24.1256,BMW_M240i Coupe M Performance
Subcompact Cars,21.405,BMW_M240i Coupe M Performance
Subcompact Cars,24.089,BMW_M240i xDrive Convertible
Subcompact Cars,24.089,BMW_M240i xDrive Coupe
Subcompact Cars,24.089,BMW_M240i xDrive Coupe M Performance
Subcompact Cars,18.5025,BMW_M4 Convertible
Subcompact Cars,19.8307,BMW_M4 Convertible
Subcompact Cars,18.5025,BMW_M4 Convertible Competition
Subcompact Cars,19.8307,BMW_M4 Convertible Competition
Subcompact Cars,20.3517,BMW_M850i xDrive Convertible
Subcompact Cars,20.4315,BMW_M850i xDrive Coupe
Subcompact Cars,23.827,Buick_CASCADA
Subcompact Cars,25.0323,Chevrolet_CAMARO
Subcompact Cars,23.3595,Chevrolet_CAMARO
Subcompact Cars,22.4764,Chevrolet_CAMARO
Subcompact Cars,19.9403,Chevrolet_CAMARO
Subcompact Cars,19.6813,Chevrolet_CAMARO
Subcompact Cars,15.5654,Chevrolet_CAMARO
Subcompact Cars,18.6287,Chevrolet_CAMARO
Subcompact Cars,15.7376,Chevrolet_CAMARO
Subcompact Cars,32.8252,Chevrolet_SPARK
Subcompact Cars,32.5457,Chevrolet_SPARK
Subcompact Cars,32.8252,Chevrolet_SPARK ACTIV
Subcompact Cars,32,Chevrolet_SPARK ACTIV
Subcompact Cars,31.1253,Ford_Fiesta FWD
Subcompact Cars,30.1309,Ford_Fiesta FWD
Subcompact Cars,25.4226,Ford_MUSTANG
Subcompact Cars,24.6762,Ford_MUSTANG
Subcompact Cars,18.8779,Ford_MUSTANG
Subcompact Cars,18.2169,Ford_MUSTANG
Subcompact Cars,18.2169,Ford_MUSTANG BULLITT
Subcompact Cars,22.7648,Ford_MUSTANG CONVERTIBLE
Subcompact Cars,23,Ford_MUSTANG CONVERTIBLE
Subcompact Cars,18.0432,Ford_MUSTANG CONVERTIBLE
Subcompact Cars,23,Ford_MUSTANG PERFORMANCE PACKAGE
Subcompact Cars,23,Ford_MUSTANG PERFORMANCE PACKAGE
Subcompact Cars,16.1572,Ford_SHELBY GT350 MUSTANG
Subcompact Cars,25.2191,INFINITI_Q60
Subcompact Cars,22.4496,INFINITI_Q60
Subcompact Cars,23.7292,INFINITI_Q60 AWD
Subcompact Cars,21.7714,INFINITI_Q60 AWD
Subcompact Cars,21,INFINITI_Q60 AWD RED SPORT
