Country Name,Adjusted net national income per capita (current US$),Population (in thousands) total,Population Median Age,Percent Population over 65,Domestic general government health expenditure (% of general government expenditure),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",People using at least basic drinking water services (% of population),Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions,"Immunization, measles (% of children ages 12-23 months)",Military expenditure (% of GDP)
Afghanistan,473.3193708,37171.922,18.9,2.58492687,1.79805613,66.026,63.047,0.21,69.60193058,59.12084823,21976355,64,1.006746292
Albania,4326.330596,2866.376,32.9,13.74474249,9.70960903,80.167,76.816,7.17,94.43639147,94.17699827,2714878,94,1.16126613
Algeria,3219.975007,42228.415,28.1,6.36249549,10.73443604,77.938,75.494,0.95,94.03741308,111.6647921,47154264,80,5.467824356
Andorra,,77.008,44.3,,18.59891129,,,11.02,100.0000012,107.2825494,82614,99,
Angola,2000.546817,30809.787,15.9,2.216373648,5.42673731,63.666,58.064,6.94,56.59174872,43.13051888,13288421,50,1.871775866
Antigua and Barbuda,,96.282,31.9,8.800191105,11.66205025,77.983,75.721,6.38,,,,96,
Argentina,9676.811107,44494.502,31.7,11.11778934,15.19464302,79.863,73.082,9.65,,132.0931513,58598041,94,0.745498855
Armenia,3685.765957,2951.741,35.1,11.25383291,5.26985884,78.354,71.215,5.55,99.95192387,121.259018,3579257,95,4.119886153
Australia,44300.56228,24982.688,38.7,15.65647379,17.9436779,84.9,80.7,10.51,99.96989482,111.012255,27640000,95,1.890622246
Austria,41712.20127,8840.521,44,19.00156111,15.49779797,84.1,79.4,11.96,100,123.5352681,10984000,94,0.744858294
Azerbaijan,3359.638152,9939.771,32.3,6.195182967,2.8122046,75.336,70.345,4.41,94.69388812,103.9214187,10339700,96,3.562401234
Bahrain,20217.33548,1569.44,32.3,2.426343154,7.21479273,78.285,76.312,1.09,100,133.3409369,2092714,99,4.07429483
Bangladesh,1626.320285,161376.713,26.7,5.15839048,2.97787333,74.291,70.637,0.019,97.47252486,100.2447125,161771617,97,1.263999785
Barbados,15113.48412,286.64,38.6,15.80274909,9.88513851,80.392,77.682,9.69,98.504449,114.8914496,329326,85,
Belarus,4975.785814,9483.499,40,14.84514313,10.60647964,79.4,69.2,11.45,96.51168256,122.925228,11619651,98,1.182261729
Belgium,39098.08554,11427.054,41.4,18.78874468,14.99570751,83.9,79.4,11.08,99.99999814,99.69668646,11447351,96,0.890644486
Belize,3572.21158,383.071,22.7,4.736458777,12.46295452,77.666,71.579,6.22,98.39929451,64.29904639,246311,97,1.294665671
Benin,1076.952733,11485.035,18.2,3.253607847,2.9630444,63.003,59.914,2.81,65.17792394,82.38429039,9461872,71,0.63285754
Bermuda,,63.919,43.4,,,85.57,77.92,,99.90314002,,,,
Bhutan,2661.521424,754.396,27.6,6.002948054,7.61215687,71.816,71.123,0.43,97.25944181,93.26155771,703554,97,
Bolivia,2936.954498,11353.14,24.3,7.191948659,12.08904457,74.209,68.434,4.43,92.25507792,100.8164084,11445830,89,1.536596285
Bosnia and Herzegovina,5071.974326,3323.929,42.1,16.47032774,15.1389389,79.72,74.752,7.15,96.13317676,104.1256346,3461058,68,0.852548557
Botswana,5799.849919,2254.067,24.5,4.22387622,14.31576443,72.049,66.204,6.59,91.24445539,150.0055899,3381228,97,2.676088923
Brazil,7850.803551,209469.32,34.3,8.92283796,10.30064011,79.362,72.024,7.42,98.67949474,99.9717023,209410048,92,1.494203353
Brunei Darussalam,23891.50254,428.96,,4.873181649,7.13899708,76.96,74.593,0.48,99.90003241,131.9342228,565949,99,2.636612485
Bulgaria,7747.240112,7025.037,42.7,21.02191063,11.58668804,78.6,71.5,12.65,99.08322437,118.9396801,8387160,93,1.451568367
Burkina Faso,672.842517,19751.466,17.3,2.406980829,8.78477192,61.863,60.361,12.03,48.36939374,97.91227142,19339109,88,2.165041746
Burundi,203.6413233,11175.379,17,2.246939455,8.52141476,63.031,59.435,7.19,61.46062113,56.53470747,6317965,88,1.882161447
Cambodia,1254.230447,16249.795,25.3,4.568679174,5.20639992,71.629,67.312,6.64,70.25363342,119.4915172,19417123,84,2.224852375
Cameroon,1278.042799,25216.261,18.5,2.728878005,1.13430619,60.192,57.656,5.65,65.04524303,73.19019901,18455836,59,1.11159531
Canada,37739.01968,37065.178,42.2,17.23200682,19.54784775,84.2,80,8.94,99.22363119,89.57894095,33211000,90,1.324681094
Central African Republic,411.4279236,4666.375,19.7,2.825769468,4.23182249,54.991,50.649,2.38,39.22754832,27.41449024,1279261,49,1.43304054
Chad,525.8321755,15477.727,17.8,2.480519265,5.22710848,55.4,52.577,1.37,45.46056009,45.12373876,6984130,42,2.339468546
Chile,12221.56912,18729.166,34.4,11.5298033,18.32768631,82.381,77.552,9.07,99.99999739,134.4373213,25178981,93,1.859638618
China,8177.556975,1392730,37.4,10.92088352,8.85456753,79.051,74.549,7.05,93.33588436,115.5258122,1649301700,99,1.739533683
Colombia,5501.390053,49661.056,30,8.478047668,19.61733055,79.859,74.33,5.74,97.13676529,129.9086097,64513977,95,3.062105511
Comoros,1268.409848,832.322,19.9,3.007009306,2.59666514,65.9,62.399,0.69,80.187987,59.94110452,498903,90,
"Congo, Dem. Rep.",461.5363566,84068.092,,3.017840586,4.45876265,61.901,58.852,2,44.64476808,43.38221502,36470600,57,0.623912515
"Congo, Rep.",984.4672912,5244.363,,2.681717494,3.48379326,65.703,62.837,9.27,73.40681542,95.34053637,5000000,75,2.50811728
Costa Rica,10712.77756,4999.443,31.3,9.549843853,27.81505203,82.73,77.539,4.87,99.78441783,169.9306983,8495585,94,0
Cote d'Ivoire,2121.088478,25069.226,20.9,2.858943471,5.06648684,58.741,56.251,2.71,70.97608502,134.8579514,33807850,76,1.413435448
Croatia,12514.67111,4087.843,43,20.44542807,12.34643078,81.4,74.9,9.23,,105.5834549,4388476,93,1.574563806
Cuba,,11338.146,41.5,15.18621298,15.1891737,80.706,76.763,5.83,96.54950123,47.39153727,5373316,99,2.876207372
Cyprus,24739.37175,1189.262,36.8,13.71909638,6.64785194,82.913,78.735,10.81,99.76518389,137.0450965,1200378,90,1.780485709
Czech Republic,17411.91829,10629.928,42.1,19.42087472,15.54141617,82,76.2,14.45,99.8803606,119.1135078,12704262,96,1.08885095
Denmark,52447.84427,5793.636,42.2,19.81294648,16.63923073,82.9,79.1,10.26,99.99999788,125.4530064,7216215,95,1.277402227
Djibouti,2899.050436,958.923,23.9,4.527579378,4.31139421,68.778,64.629,0.43,75.9368505,41.19590415,395037,86,
Dominica,6555.315977,71.626,33.5,,6.99865007,,,11.18,,105.7884817,75771,84,
Dominican Republic,7204.533419,10627.147,28.1,7.082813478,15.40141296,77.196,70.805,6.68,96.54280852,84.10208352,8937647,95,0.69399111
Ecuador,4811.209793,17084.359,27.7,7.157289308,11.41695976,79.645,74.058,4.2,94.66226374,92.32327021,15772838,83,2.351887153
